Series,Surface,Round,dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age,is_outdoor,is_five_sets,5SMA
International Gold,Hard,2nd Round,1665,14,1.08,443,98,7.0,1,20,1,0,0.6
International Gold,Hard,Quarterfinals,1665,14,9.0,8120,1,1.04,0,20,1,0,0.8
Masters,Hard,2nd Round,1715,13,1.3,765,43,3.39,1,20,1,0,0.8
Masters,Hard,3rd Round,1715,13,1.25,511,71,3.75,1,20,1,0,0.6
Masters,Hard,4th Round,1715,13,1.22,757,46,4.0,1,20,1,0,0.6
Masters,Hard,Quarterfinals,1715,13,1.44,1645,15,2.75,1,20,1,0,0.8
Masters,Hard,Semifinals,1715,13,1.72,1700,14,2.1,1,20,1,0,0.8
Masters,Hard,The Final,1715,13,3.2,4480,2,1.36,0,20,1,1,0.8
Masters,Hard,2nd Round,2060,10,1.11,485,82,6.0,1,20,1,0,1.0
Masters,Hard,3rd Round,2060,10,1.11,514,76,6.0,1,20,1,0,0.8
Masters,Hard,4th Round,2060,10,1.14,481,84,5.0,1,20,1,0,0.8
Masters,Hard,Quarterfinals,2060,10,4.0,4755,2,1.25,1,20,1,0,0.8
Masters,Hard,Semifinals,2060,10,1.61,1905,12,2.25,1,20,1,0,0.8
Masters,Hard,The Final,2060,10,1.61,652,55,2.25,1,20,1,1,0.8
Masters,Clay,2nd Round,2540,7,1.19,740,45,4.33,1,20,1,0,1.0
Masters,Clay,3rd Round,2540,7,1.5,1615,16,2.5,0,20,1,0,1.0
International,Clay,1st Round,2595,5,1.3,230,177,3.39,1,20,1,0,1.0
International,Clay,2nd Round,2595,5,1.08,164,232,7.0,1,20,1,0,0.8
International,Clay,Quarterfinals,2595,5,1.14,609,62,5.0,1,20,1,0,0.8
International,Clay,Semifinals,2595,5,1.72,2445,7,2.0,1,20,1,0,0.8
International,Clay,The Final,2595,5,1.66,1745,15,2.2,1,20,1,0,0.8
Masters,Clay,2nd Round,2720,5,1.28,1053,27,3.5,1,20,1,0,0.8
Masters,Clay,3rd Round,2720,5,1.28,1335,18,3.5,1,20,1,0,1.0
Masters,Clay,Quarterfinals,2720,5,8.0,4875,2,1.07,0,20,1,0,1.0
Masters,Clay,2nd Round,2735,6,1.07,822,38,7.5,1,20,1,0,1.0
Masters,Clay,3rd Round,2735,6,1.2,1170,23,4.33,1,20,1,0,0.8
Masters,Clay,Quarterfinals,2735,6,1.33,860,36,3.4,0,20,1,0,0.8
Grand Slam,Clay,1st Round,2810,6,1.03,341,123,11.0,1,20,1,1,0.8
Grand Slam,Clay,2nd Round,2810,6,1.01,115,306,13.0,1,20,1,1,0.6
Grand Slam,Clay,3rd Round,2810,6,1.05,337,129,9.0,1,20,1,1,0.6
Grand Slam,Clay,4th Round,2810,6,1.36,695,51,3.0,1,20,1,1,0.8
Grand Slam,Clay,Quarterfinals,2810,6,1.53,340,125,2.5,1,20,1,1,0.8
Grand Slam,Clay,Semifinals,2810,6,8.5,5225,2,1.06,0,20,1,1,0.8
International,Grass,2nd Round,3010,4,1.1,481,86,6.5,1,20,1,0,1.0
International,Grass,3rd Round,3010,4,1.14,745,43,5.0,0,20,1,0,0.8
Grand Slam,Grass,1st Round,3010,5,1.03,716,47,11.0,1,20,1,1,0.8
Grand Slam,Grass,2nd Round,3010,5,1.04,560,67,9.0,1,20,1,1,0.6
Grand Slam,Grass,3rd Round,3010,5,1.16,6,1065,4.5,1,20,1,1,0.6
