Series,Surface,Round,dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age,is_outdoor,is_five_sets,5SMA
ATP500,Hard,Semifinals,8310,2,1.25,1100,37,3.75,1,23,1,0,0.6
ATP500,Hard,The Final,8310,2,1.36,1975,15,3.25,1,23,1,0,0.8
Masters 1000,Hard,2nd Round,8310,2,1.12,490,106,5.5,1,23,1,0,0.8
Masters 1000,Hard,3rd Round,8310,2,1.2,1275,31,4.33,1,23,1,0,1.0
Masters 1000,Hard,4th Round,8310,2,1.28,1520,26,3.5,0,23,1,0,1.0
Masters 1000,Hard,2nd Round,8220,2,1.05,754,59,9.0,0,23,1,0,1.0
Masters 1000,Clay,2nd Round,7630,2,1.16,710,67,4.5,1,23,1,0,0.8
Masters 1000,Clay,3rd Round,7630,2,1.36,1780,20,3.0,1,23,1,0,0.6
Masters 1000,Clay,Quarterfinals,7630,2,1.4,335,151,2.75,1,23,1,0,0.6
Masters 1000,Clay,Semifinals,7630,2,1.4,2725,12,3.0,0,23,1,0,0.6
Masters 1000,Clay,2nd Round,7390,2,1.08,920,46,7.0,1,23,1,0,0.6
Masters 1000,Clay,3rd Round,7390,2,1.14,1402,28,5.0,1,23,1,0,0.6
Masters 1000,Clay,Quarterfinals,7390,2,1.44,3555,9,2.62,0,23,1,0,0.8
ATP250,Clay,2nd Round,6970,2,1.03,630,80,11.0,1,23,1,0,0.8
Grand Slam,Clay,1st Round,6405,3,1.02,655,73,12.0,1,23,1,1,0.6
Grand Slam,Clay,2nd Round,6405,3,1.04,190,246,10.0,1,23,1,1,0.6
Grand Slam,Clay,3rd Round,6405,3,1.1,1160,37,6.5,1,23,1,1,0.8
Grand Slam,Clay,4th Round,6405,3,1.05,538,98,9.0,1,23,1,1,0.8
Grand Slam,Clay,Quarterfinals,6405,3,1.2,1495,27,4.5,0,23,1,1,0.8
ATP250,Grass,2nd Round,6675,3,1.03,560,96,11.0,1,23,1,0,1.0
ATP250,Grass,3rd Round,6675,3,1.16,649,74,4.5,0,23,1,0,0.8
Grand Slam,Grass,1st Round,6545,3,1.11,730,68,6.0,1,23,1,1,0.8
Grand Slam,Grass,2nd Round,6545,3,1.14,551,97,5.0,1,23,1,1,0.6
Grand Slam,Grass,3rd Round,6545,3,1.03,1405,31,11.0,1,23,1,1,0.6
Grand Slam,Grass,4th Round,6545,3,1.8,1565,26,1.9,1,23,1,1,0.6
Grand Slam,Grass,Quarterfinals,6545,3,1.12,626,82,6.0,1,23,1,1,0.8
Grand Slam,Grass,Semifinals,6545,3,1.8,2825,13,2.0,0,23,1,1,0.8
Masters 1000,Hard,2nd Round,6905,2,1.08,1229,33,7.0,1,23,1,0,1.0
Masters 1000,Hard,3rd Round,6905,2,1.16,870,54,4.5,1,23,1,0,0.8
Masters 1000,Hard,Quarterfinals,6905,2,1.2,695,72,4.33,1,23,1,0,0.8
Masters 1000,Hard,Semifinals,6905,2,2.25,6795,3,1.61,0,23,1,0,0.8
Masters 1000,Hard,2nd Round,7085,3,1.14,945,47,5.0,1,23,1,0,0.8
Masters 1000,Hard,3rd Round,7085,3,1.57,1145,37,2.25,1,23,1,0,0.6
Masters 1000,Hard,Quarterfinals,7085,3,1.5,2875,13,2.5,0,23,1,0,0.8
Grand Slam,Hard,1st Round,6665,3,1.08,980,47,7.0,1,23,1,1,0.8
Grand Slam,Hard,2nd Round,6665,3,1.1,910,52,6.5,1,23,1,1,0.6
Grand Slam,Hard,3rd Round,6665,3,1.1,495,108,6.5,1,23,1,1,0.6
Grand Slam,Hard,4th Round,6665,3,1.28,1751,21,3.5,1,23,1,1,0.8
Grand Slam,Hard,Quarterfinals,6665,3,1.22,2070,19,4.33,1,23,1,1,0.8
Grand Slam,Hard,Semifinals,6665,3,3.5,7215,2,1.3,1,23,1,1,0.8
Grand Slam,Hard,The Final,6665,3,3.25,10745,1,1.36,0,23,1,1,1.0
ATP500,Hard,1st Round,7145,2,1.005,111,356,21.0,1,23,1,0,1.0
ATP500,Hard,Quarterfinals,7145,2,1.2,1055,43,4.33,1,23,1,0,0.8
ATP500,Hard,Semifinals,7145,2,1.22,1715,22,4.0,1,23,1,0,0.8
ATP500,Hard,The Final,7145,2,1.25,3135,11,4.0,1,23,1,0,0.8
Masters 1000,Hard,2nd Round,7145,2,1.12,2190,17,5.5,1,23,1,0,0.8
Masters 1000,Hard,3rd Round,7145,2,1.14,1305,31,5.0,1,23,1,0,0.8
Masters 1000,Hard,Quarterfinals,7145,2,1.06,1175,35,8.0,1,23,1,0,1.0
Masters 1000,Hard,Semifinals,7145,2,2.2,6735,3,1.66,0,23,1,0,1.0
ATP500,Hard,1st Round,7145,3,1.11,1415,26,6.0,1,23,0,0,1.0
ATP500,Hard,2nd Round,7145,3,1.16,1070,41,4.5,1,23,0,0,0.8
ATP500,Hard,Quarterfinals,7145,3,1.07,743,66,7.5,1,23,0,0,0.8
ATP500,Hard,Semifinals,7145,3,1.2,1225,32,4.33,1,23,0,0,0.8
ATP500,Hard,The Final,7145,3,2.75,7495,2,1.44,0,23,0,0,0.8
Masters 1000,Hard,2nd Round,6945,3,1.12,1480,24,5.5,1,23,0,0,0.8
Masters 1000,Hard,3rd Round,6945,3,1.14,1215,34,5.0,0,23,0,0,0.8
Masters Cup,Hard,Round Robin,5635,3,1.2,3755,6,4.5,1,23,0,0,0.8
Masters Cup,Hard,Round Robin,5635,3,1.9,11450,1,1.9,0,23,0,0,0.6
Masters Cup,Hard,Round Robin,5635,3,1.38,3665,8,3.0,1,23,0,0,0.6
Masters Cup,Hard,Semifinals,5635,3,3.0,7645,2,1.38,0,23,0,0,0.4
Grand Slam,Hard,1st Round,6240,3,1.01,993,42,15.0,1,24,1,1,0.6
Grand Slam,Hard,2nd Round,6240,3,1.01,606,81,15.0,1,24,1,1,0.4
Grand Slam,Hard,4th Round,6240,3,1.06,2160,14,8.0,1,24,1,1,0.6
Grand Slam,Hard,Quarterfinals,6240,3,1.28,3955,6,3.75,1,24,1,1,0.6
Grand Slam,Hard,Semifinals,6240,3,2.87,9245,2,1.4,1,24,1,1,0.8
Grand Slam,Hard,The Final,6240,3,1.61,5760,5,2.4,1,24,1,1,0.8
ATP500,Hard,1st Round,7880,3,1.07,1370,27,7.5,1,24,1,0,1.0
ATP500,Hard,2nd Round,7880,3,1.04,1060,41,10.0,1,24,1,0,1.0
ATP500,Hard,Quarterfinals,7880,3,1.04,1098,38,10.0,1,24,1,0,1.0
ATP500,Hard,The Final,7880,3,2.5,7965,2,1.53,1,24,1,0,1.0
Masters 1000,Hard,2nd Round,7800,3,1.03,1090,39,11.0,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,7800,3,1.06,1210,34,8.0,1,24,1,0,1.0
Masters 1000,Hard,4th Round,7800,3,1.08,1710,18,7.0,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,7800,3,1.07,1495,21,7.5,1,24,1,0,1.0
Masters 1000,Hard,Semifinals,7800,3,1.61,7965,2,2.25,1,24,1,0,1.0
Masters 1000,Hard,The Final,7800,3,1.72,12390,1,2.1,1,24,1,0,1.0
Masters 1000,Hard,2nd Round,8710,2,1.03,896,54,11.0,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,8710,2,1.01,335,173,15.0,1,24,1,0,1.0
Masters 1000,Hard,4th Round,8710,2,1.04,1710,17,10.0,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,8710,2,1.02,1058,40,12.0,1,24,1,0,1.0
Masters 1000,Hard,Semifinals,8710,2,1.07,2106,15,8.0,1,24,1,0,1.0
Masters 1000,Hard,The Final,8710,2,2.0,12630,1,1.8,1,24,1,0,1.0
ATP250,Clay,2nd Round,9640,2,1.01,327,182,15.0,1,24,1,0,1.0
ATP250,Clay,Quarterfinals,9640,2,1.005,599,85,21.0,1,24,1,0,1.0
ATP250,Clay,The Final,9640,2,1.04,1095,37,11.0,1,24,1,0,1.0
Masters 1000,Clay,2nd Round,9710,2,1.02,1150,35,12.0,1,24,1,0,1.0
Masters 1000,Clay,3rd Round,9710,2,1.05,1285,29,9.0,1,24,1,0,1.0
Masters 1000,Clay,Quarterfinals,9710,2,1.3,4330,6,3.5,1,24,1,0,1.0
Masters 1000,Clay,Semifinals,9710,2,1.08,1115,36,7.5,1,24,1,0,1.0
Masters 1000,Clay,The Final,9710,2,3.6,11915,1,1.28,1,24,1,0,1.0
Masters 1000,Clay,2nd Round,10665,2,1.01,418,141,21.0,1,24,1,0,1.0
Masters 1000,Clay,3rd Round,10665,2,1.05,1920,14,9.0,1,24,1,0,1.0
Masters 1000,Clay,Quarterfinals,10665,2,1.16,5265,5,5.0,1,24,1,0,1.0
Masters 1000,Clay,Semifinals,10665,2,1.16,5905,4,5.0,1,24,1,0,1.0
Masters 1000,Clay,The Final,10665,2,2.75,12470,1,1.44,1,24,1,0,1.0
Grand Slam,Clay,1st Round,11665,2,1.01,710,71,21.0,1,24,1,1,1.0
Grand Slam,Clay,3rd Round,11665,2,1.12,1355,26,5.5,1,24,1,1,1.0
Grand Slam,Clay,4th Round,11665,2,1.04,1755,16,10.0,1,24,1,1,1.0
Grand Slam,Clay,Semifinals,11665,2,1.33,8390,3,3.4,0,24,1,1,1.0
Grand Slam,Grass,1st Round,12005,2,1.01,930,54,15.0,1,24,1,1,1.0
Grand Slam,Grass,2nd Round,12005,2,1.01,1185,36,15.0,1,24,1,1,0.8
Grand Slam,Grass,3rd Round,12005,2,1.02,1295,30,12.0,1,24,1,1,0.8
Grand Slam,Grass,4th Round,12005,2,1.06,1195,35,9.0,1,24,1,1,0.8
Grand Slam,Grass,Quarterfinals,12005,2,1.07,357,158,8.0,1,24,1,1,0.8
Grand Slam,Grass,Semifinals,12005,2,1.44,1585,19,2.75,1,24,1,1,0.8
Grand Slam,Grass,The Final,12005,2,2.3,12070,1,1.66,1,24,1,1,1.0
Masters 1000,Hard,2nd Round,12860,1,1.05,1295,30,11.0,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,12860,1,1.1,1295,29,7.0,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,12860,1,1.07,2905,7,9.0,1,24,1,0,1.0
Masters 1000,Hard,The Final,12860,1,1.07,2505,8,9.0,1,24,1,0,1.0
Masters 1000,Hard,2nd Round,13500,1,1.03,667,78,15.0,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,13500,1,1.05,1338,29,11.0,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,13500,1,1.06,2995,8,10.0,1,24,1,0,1.0
Grand Slam,Hard,2nd Round,13920,1,1.002,672,74,34.0,1,24,1,1,1.0
Grand Slam,Hard,3rd Round,13920,1,1.02,1115,39,17.0,1,24,1,1,1.0
Grand Slam,Hard,4th Round,13920,1,1.02,1530,23,19.0,1,24,1,1,1.0
Grand Slam,Hard,Semifinals,13920,1,1.53,8380,3,2.5,1,24,1,1,1.0
Grand Slam,Hard,The Final,13920,1,1.57,11420,2,2.37,1,24,1,1,1.0
ATP500,Hard,1st Round,13860,1,1.04,910,47,13.0,1,24,0,0,1.0
ATP500,Hard,2nd Round,13860,1,1.02,747,64,17.0,1,24,0,0,1.0
ATP500,Hard,Quarterfinals,13860,1,1.05,805,59,11.0,1,24,0,0,1.0
ATP500,Hard,Semifinals,13860,1,1.05,1225,32,11.0,0,24,0,0,1.0
Masters 1000,Hard,2nd Round,13785,1,1.25,1035,39,3.75,1,24,0,0,1.0
Masters 1000,Hard,3rd Round,13785,1,1.22,1730,19,4.0,1,24,0,0,0.8
Masters Cup,Hard,Round Robin,13475,1,1.3,3300,7,3.4,1,24,0,0,0.8
Masters Cup,Hard,Round Robin,13475,1,1.28,4480,5,3.6,0,24,0,0,0.8
Masters Cup,Hard,Round Robin,13475,1,1.3,2395,9,3.5,0,24,0,0,0.8
Grand Slam,Hard,2nd Round,13630,1,1.002,845,56,34.0,1,25,1,1,0.6
Grand Slam,Hard,3rd Round,13630,1,1.002,653,81,34.0,1,25,1,1,0.6
Grand Slam,Hard,4th Round,13630,1,1.01,265,181,21.0,1,25,1,1,0.6
Grand Slam,Hard,Quarterfinals,13630,1,1.1,4925,5,8.0,1,25,1,1,0.6
Grand Slam,Hard,Semifinals,13630,1,1.36,7380,4,3.3,1,25,1,1,0.6
Grand Slam,Hard,The Final,13630,1,1.66,9595,2,2.3,1,25,1,1,0.8
ATP500,Hard,1st Round,13130,1,1.01,678,72,26.0,1,25,1,0,1.0
ATP500,Hard,2nd Round,13130,1,1.01,665,74,26.0,1,25,1,0,1.0
ATP500,Hard,Quarterfinals,13130,1,1.1,2710,9,7.0,1,25,1,0,1.0
ATP500,Hard,Semifinals,13130,1,1.33,7150,4,3.4,0,25,1,0,1.0
Masters 1000,Hard,2nd Round,13310,1,1.01,372,145,23.0,1,25,1,0,1.0
Masters 1000,Hard,3rd Round,13310,1,1.04,1270,30,13.0,1,25,1,0,0.8
Masters 1000,Hard,4th Round,13310,1,1.01,1000,45,26.0,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,13310,1,1.08,2070,12,8.0,1,25,1,0,0.8
Masters 1000,Hard,Semifinals,13310,1,1.1,2120,11,7.0,0,25,1,0,0.8
Masters 1000,Hard,2nd Round,12670,1,1.07,1010,42,9.0,1,25,1,0,0.8
Masters 1000,Hard,3rd Round,12670,1,1.03,1340,27,15.0,1,25,1,0,0.8
Masters 1000,Hard,4th Round,12670,1,1.05,1595,17,11.0,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,12670,1,1.22,4700,5,4.33,1,25,1,0,0.8
Masters 1000,Hard,Semifinals,12670,1,1.05,1495,21,11.0,1,25,1,0,0.8
Masters 1000,Hard,The Final,12670,1,1.41,7450,4,2.9,1,25,1,0,0.8
Masters 1000,Clay,2nd Round,12670,1,1.01,980,44,21.0,1,25,1,0,1.0
Masters 1000,Clay,3rd Round,12670,1,1.08,1495,21,8.0,1,25,1,0,1.0
Masters 1000,Clay,Quarterfinals,12670,1,1.04,821,55,13.0,1,25,1,0,1.0
Masters 1000,Clay,Semifinals,12670,1,1.28,3810,7,3.75,1,25,1,0,1.0
Masters 1000,Clay,The Final,12670,1,2.1,9215,2,1.72,0,25,1,0,1.0
Masters 1000,Clay,2nd Round,12020,1,1.01,399,137,26.0,1,25,1,0,1.0
Masters 1000,Clay,3rd Round,12020,1,1.16,1505,21,5.0,1,25,1,0,0.8
Masters 1000,Clay,Quarterfinals,12020,1,1.1,2820,8,7.0,0,25,1,0,0.8
Masters 1000,Clay,2nd Round,11200,1,1.03,1215,32,15.0,1,25,1,0,0.8
Masters 1000,Clay,3rd Round,11200,1,1.08,1925,15,8.0,1,25,1,0,0.6
Masters 1000,Clay,Quarterfinals,11200,1,1.16,4930,5,5.0,1,25,1,0,0.6
Masters 1000,Clay,Semifinals,11200,1,1.85,9430,2,1.95,1,25,1,0,0.8
Masters 1000,Clay,The Final,11200,1,2.25,9105,3,1.61,0,25,1,0,0.8
Grand Slam,Clay,1st Round,11800,1,1.002,558,97,34.0,1,25,1,1,0.8
Grand Slam,Clay,4th Round,11800,1,1.02,1355,25,19.0,1,25,1,1,0.8
Grand Slam,Clay,Quarterfinals,11800,1,1.16,4965,5,5.0,1,25,1,1,0.8
Grand Slam,Clay,Semifinals,11800,1,1.53,9790,3,2.5,1,25,1,1,0.8
Grand Slam,Clay,The Final,11800,1,4.33,10060,2,1.25,0,25,1,1,0.8
Grand Slam,Grass,1st Round,12280,1,1.01,1035,38,23.0,1,25,1,1,0.8
Grand Slam,Grass,2nd Round,12280,1,1.01,871,48,21.0,1,25,1,1,0.8
Grand Slam,Grass,3rd Round,12280,1,1.01,1340,27,23.0,1,25,1,1,0.8
Grand Slam,Grass,4th Round,12280,1,1.02,1190,34,19.0,1,25,1,1,0.8
Grand Slam,Grass,Quarterfinals,12280,1,1.02,1230,29,17.0,1,25,1,1,0.8
Grand Slam,Grass,Semifinals,12280,1,1.44,9435,3,2.87,0,25,1,1,0.8
Masters 1000,Hard,2nd Round,11270,2,1.07,880,49,9.0,1,25,1,0,1.0
Masters 1000,Hard,3rd Round,11270,2,1.1,1189,35,7.0,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,11270,2,1.1,1418,25,7.0,1,25,1,0,0.8
Masters 1000,Hard,Semifinals,11270,2,1.16,3320,9,5.0,1,25,1,0,0.8
Masters 1000,Hard,The Final,11270,2,1.11,1600,21,6.5,1,25,1,0,0.8
Masters 1000,Hard,2nd Round,11270,2,1.04,1355,27,13.0,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,11270,2,1.08,2015,15,8.0,1,25,1,0,1.0
Masters 1000,Hard,Semifinals,11270,2,1.25,3305,9,4.0,1,25,1,0,1.0
Masters 1000,Hard,The Final,11270,2,1.53,11345,1,2.5,0,25,1,0,1.0
Grand Slam,Hard,1st Round,11270,2,1.002,674,69,34.0,1,25,1,1,1.0
Grand Slam,Hard,3rd Round,11270,2,1.01,1075,35,21.0,1,25,1,1,0.8
Grand Slam,Hard,Quarterfinals,11270,2,1.12,3620,8,6.0,1,25,1,1,0.8
Grand Slam,Hard,Semifinals,11270,2,1.07,5375,5,9.0,1,25,1,1,0.8
Grand Slam,Hard,The Final,11270,2,1.44,7290,4,2.87,0,25,1,1,0.8
ATP500,Hard,1st Round,10470,2,1.01,466,123,26.0,1,25,1,0,0.8
ATP500,Hard,2nd Round,10470,2,1.01,880,50,26.0,1,25,1,0,0.8
ATP500,Hard,Quarterfinals,10470,2,1.02,997,37,17.0,1,25,1,0,0.8
ATP500,Hard,Semifinals,10470,2,1.02,1295,29,17.0,1,25,1,0,0.8
ATP500,Hard,The Final,10470,2,1.18,4520,7,4.5,1,25,1,0,0.8
Masters 1000,Hard,2nd Round,10970,2,1.02,751,56,17.0,1,25,1,0,0.8
Masters 1000,Hard,3rd Round,10970,2,1.02,1355,29,17.0,1,25,1,0,1.0
Masters 1000,Hard,Quarterfinals,10970,2,1.06,1553,21,10.0,1,25,1,0,1.0
Masters 1000,Hard,Semifinals,10970,2,1.14,4570,7,5.5,1,25,1,0,1.0
Masters 1000,Hard,The Final,10970,2,1.57,8090,3,2.37,1,25,1,0,1.0
Masters 1000,Hard,2nd Round,11970,2,1.08,1560,23,8.0,0,25,0,0,1.0
Masters Cup,Hard,Round Robin,11420,1,1.25,3490,8,4.0,1,25,0,0,1.0
Masters Cup,Hard,Round Robin,11420,1,1.8,7600,3,2.0,1,25,0,0,0.8
Masters Cup,Hard,Round Robin,11420,1,1.18,4405,6,4.5,1,25,0,0,0.8
Masters Cup,Hard,Semifinals,11420,1,1.16,4080,7,5.0,1,25,0,0,0.8
Masters Cup,Hard,The Final,11420,1,1.61,9465,2,2.3,1,25,0,0,0.8
Grand Slam,Hard,1st Round,12920,1,1.002,763,60,29.0,1,26,1,1,0.8
Grand Slam,Hard,2nd Round,12920,1,1.002,754,62,34.0,1,26,1,1,1.0
Grand Slam,Hard,4th Round,12920,1,1.02,1900,17,19.0,1,26,1,1,1.0
Grand Slam,Hard,Quarterfinals,12920,1,1.16,4680,6,5.0,1,26,1,1,1.0
Grand Slam,Hard,Semifinals,12920,1,1.08,6505,5,8.0,1,26,1,1,1.0
Grand Slam,Hard,The Final,12920,1,1.53,8000,3,2.62,1,26,1,1,1.0
ATP500,Hard,1st Round,12960,1,1.02,925,44,19.0,1,26,1,0,1.0
ATP500,Hard,2nd Round,12960,1,1.01,788,55,26.0,1,26,1,0,1.0
ATP500,Hard,Quarterfinals,12960,1,1.02,1730,20,17.0,1,26,1,0,1.0
ATP500,Hard,Semifinals,12960,1,1.1,4410,7,7.0,1,26,1,0,1.0
ATP500,Hard,The Final,12960,1,1.11,4545,6,6.5,1,26,1,0,1.0
Masters 1000,Hard,2nd Round,13280,1,1.002,1065,36,29.0,1,26,1,0,1.0
Masters 1000,Hard,3rd Round,13280,1,1.02,1137,31,17.0,1,26,1,0,1.0
Masters 1000,Hard,4th Round,13280,1,1.04,1695,23,13.0,1,26,1,0,1.0
Masters 1000,Hard,Quarterfinals,13280,1,1.08,3660,8,8.0,1,26,1,0,1.0
Masters 1000,Hard,Semifinals,13280,1,1.11,4410,7,6.5,0,26,1,0,1.0
Masters 1000,Hard,2nd Round,13280,1,1.01,749,64,26.0,1,26,1,0,1.0
Masters 1000,Hard,3rd Round,13280,1,1.002,182,254,34.0,1,26,1,0,0.8
Masters 1000,Hard,4th Round,13280,1,1.05,1925,18,11.0,0,26,1,0,0.8
Masters 1000,Clay,2nd Round,12500,1,1.06,1220,27,10.0,1,26,1,0,0.8
Masters 1000,Clay,3rd Round,12500,1,1.1,1740,20,7.0,1,26,1,0,0.6
Masters 1000,Clay,Quarterfinals,12500,1,1.11,860,49,6.5,1,26,1,0,0.6
Masters 1000,Clay,Semifinals,12500,1,1.12,1135,32,6.0,1,26,1,0,0.8
Masters 1000,Clay,The Final,12500,1,2.87,6385,5,1.4,1,26,1,0,0.8
Masters 1000,Clay,2nd Round,12900,1,1.05,1272,28,11.0,0,26,1,0,0.8
Masters 1000,Clay,2nd Round,12730,1,1.01,573,89,21.0,1,26,1,0,1.0
Masters 1000,Clay,3rd Round,12730,1,1.06,1420,23,10.0,1,26,1,0,0.8
Masters 1000,Clay,Quarterfinals,12730,1,1.12,4520,6,6.0,0,26,1,0,0.8
Grand Slam,Clay,1st Round,12310,1,1.002,797,58,29.0,1,26,1,1,0.8
Grand Slam,Clay,3rd Round,12310,1,1.07,1355,28,9.0,1,26,1,1,0.6
Grand Slam,Clay,4th Round,12310,1,1.03,1750,19,15.0,1,26,1,1,0.6
Grand Slam,Clay,Quarterfinals,12310,1,1.08,2340,14,8.0,1,26,1,1,0.8
Grand Slam,Clay,Semifinals,12310,1,2.3,6895,4,1.61,0,26,1,1,0.8
Grand Slam,Grass,1st Round,11830,1,1.01,1175,34,26.0,1,26,1,1,0.8
Grand Slam,Grass,2nd Round,11830,1,1.002,346,156,29.0,1,26,1,1,0.8
Grand Slam,Grass,3rd Round,11830,1,1.02,1441,25,19.0,1,26,1,0,0.8
Grand Slam,Grass,4th Round,11830,1,1.1,2425,13,7.0,1,26,1,1,0.8
Grand Slam,Grass,Quarterfinals,11830,1,1.1,4515,6,7.0,1,26,1,1,0.8
Grand Slam,Grass,Semifinals,11830,1,1.16,3960,8,5.0,1,26,1,1,0.8
Grand Slam,Grass,The Final,11830,1,1.57,8560,2,2.5,0,26,1,1,1.0
Masters 1000,Hard,2nd Round,12040,1,1.03,905,50,15.0,1,26,1,0,1.0
Masters 1000,Hard,3rd Round,12040,1,1.02,720,66,17.0,1,26,1,0,0.8
Masters 1000,Hard,Quarterfinals,12040,1,1.11,3045,9,6.5,1,26,1,0,0.8
Masters 1000,Hard,Semifinals,12040,1,1.4,6860,4,3.0,0,26,1,0,0.8
Masters 1000,Hard,2nd Round,11400,1,1.03,1240,32,15.0,1,26,1,0,0.8
Masters 1000,Hard,3rd Round,11400,1,1.02,631,80,19.0,1,26,1,0,0.6
Masters 1000,Hard,Quarterfinals,11400,1,1.1,1585,22,7.0,0,26,1,0,0.8
Grand Slam,Hard,1st Round,10980,1,1.002,499,112,34.0,1,26,1,1,0.8
Grand Slam,Hard,2nd Round,10980,1,1.002,603,87,34.0,1,26,1,1,0.6
Grand Slam,Hard,4th Round,10980,1,1.01,975,43,26.0,1,26,1,1,0.6
Grand Slam,Hard,Quarterfinals,10980,1,1.02,1475,24,17.0,1,26,1,1,0.8
Grand Slam,Hard,Semifinals,10980,1,1.14,2610,10,5.5,1,26,1,1,0.8
Grand Slam,Hard,The Final,10980,1,2.2,8860,2,1.66,0,26,1,1,0.8
ATP500,Hard,1st Round,11120,1,1.01,951,46,21.0,1,26,1,0,1.0
ATP500,Hard,2nd Round,11120,1,1.04,1210,31,13.0,1,26,1,0,0.8
ATP500,Hard,Quarterfinals,11120,1,1.05,1265,30,11.0,1,26,1,0,0.8
ATP500,Hard,Semifinals,11120,1,1.1,3005,10,7.0,1,26,1,0,0.8
ATP500,Hard,The Final,11120,1,1.72,10860,2,2.1,1,26,1,0,0.8
Masters 1000,Hard,2nd Round,11120,2,1.01,1110,36,21.0,1,26,1,0,0.8
Masters 1000,Hard,3rd Round,11120,2,1.06,1885,17,10.0,1,26,1,0,1.0
Masters 1000,Hard,Quarterfinals,11120,2,1.1,1050,42,7.0,1,26,1,0,1.0
Masters 1000,Hard,Semifinals,11120,2,1.14,3115,9,5.5,1,26,1,0,1.0
Masters 1000,Hard,The Final,11120,2,1.33,4925,5,3.4,1,26,1,0,1.0
Masters 1000,Hard,2nd Round,11120,2,1.01,262,189,23.0,1,26,0,0,1.0
Masters 1000,Hard,3rd Round,11120,2,1.14,2070,16,5.5,1,26,0,0,1.0
Masters 1000,Hard,Quarterfinals,11120,2,1.14,3240,8,5.5,1,26,0,0,1.0
Masters 1000,Hard,Semifinals,11120,2,1.28,4245,6,3.75,1,26,0,0,1.0
Masters 1000,Hard,The Final,11120,2,1.12,6600,3,6.0,1,26,0,0,1.0
Masters Cup,Hard,Round Robin,10610,2,1.28,3805,7,3.75,1,26,0,0,1.0
Masters Cup,Hard,Round Robin,10610,2,1.28,5055,5,3.75,1,26,0,0,1.0
Masters Cup,Hard,Round Robin,10610,2,1.06,3300,9,10.0,1,26,0,0,1.0
Masters Cup,Hard,Semifinals,10610,2,1.14,3330,8,5.5,1,26,0,0,1.0
Masters Cup,Hard,The Final,10610,2,1.57,12030,1,2.37,1,26,0,0,1.0
Grand Slam,Hard,2nd Round,12260,2,1.002,579,98,34.0,1,27,1,1,1.0
Grand Slam,Hard,3rd Round,12260,2,1.01,945,49,26.0,1,27,1,1,1.0
Grand Slam,Hard,4th Round,12260,2,1.01,1930,16,26.0,1,27,1,1,1.0
Grand Slam,Hard,Quarterfinals,12260,2,1.07,3890,8,9.0,0,27,1,1,1.0
ATP500,Hard,1st Round,10580,2,1.02,830,54,17.0,1,27,1,0,1.0
ATP500,Hard,2nd Round,10580,2,1.02,885,51,17.0,1,27,1,0,0.8
ATP500,Hard,Semifinals,10580,2,1.22,4305,8,4.33,0,27,1,0,0.8
Masters 1000,Hard,2nd Round,10260,2,1.0166666666666668,616,87,34.0,1,27,1,0,0.8
Masters 1000,Hard,3rd Round,10260,2,1.01,602,91,26.0,1,27,1,0,0.6
Masters 1000,Hard,4th Round,10260,2,1.14,1455,26,5.5,1,27,1,0,0.6
Masters 1000,Hard,Quarterfinals,10260,2,1.05,730,65,11.0,1,27,1,0,0.8
Masters 1000,Hard,Semifinals,10260,2,1.14,2320,13,5.5,1,27,1,0,0.8
Masters 1000,Hard,The Final,10260,2,1.53,4625,8,2.5,1,27,1,0,0.8
Masters 1000,Hard,2nd Round,10900,2,1.02,955,48,17.0,1,27,1,0,1.0
Masters 1000,Hard,4th Round,10900,2,1.04,2050,17,13.0,1,27,1,0,1.0
Masters 1000,Hard,Quarterfinals,10900,2,1.28,4795,6,3.75,1,27,1,0,1.0
Masters 1000,Hard,The Final,10900,2,1.72,13130,1,2.1,1,27,1,0,1.0
Masters 1000,Clay,2nd Round,11680,2,1.01,810,57,21.0,1,27,1,0,1.0
Masters 1000,Clay,3rd Round,11680,2,1.01,730,62,26.0,1,27,1,0,1.0
Masters 1000,Clay,Quarterfinals,11680,2,1.01,1071,38,21.0,1,27,1,0,1.0
Masters 1000,Clay,Semifinals,11680,2,1.28,5355,4,3.75,0,27,1,0,1.0
Masters 1000,Clay,2nd Round,11030,2,1.03,1005,43,15.0,1,27,1,0,1.0
Masters 1000,Clay,3rd Round,11030,2,1.1,1280,29,7.0,1,27,1,0,0.8
Masters 1000,Clay,Quarterfinals,11030,2,1.33,5030,5,3.4,1,27,1,0,0.8
Masters 1000,Clay,Semifinals,11030,2,1.12,2625,10,6.0,1,27,1,0,0.8
