Series,Surface,Round,dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA
Grand Slam,Hard,2nd Round,6240,3,606,81,1,24,1,1,0.4
Grand Slam,Hard,4th Round,6240,3,2160,14,1,24,1,1,0.6
Grand Slam,Hard,Quarterfinals,6240,3,3955,6,1,24,1,1,0.6
Grand Slam,Hard,Semifinals,6240,3,9245,2,1,24,1,1,0.8
Grand Slam,Hard,The Final,6240,3,5760,5,1,24,1,1,0.8
ATP500,Hard,1st Round,7880,3,1370,27,1,24,1,0,1.0
ATP500,Hard,2nd Round,7880,3,1060,41,1,24,1,0,1.0
ATP500,Hard,Quarterfinals,7880,3,1098,38,1,24,1,0,1.0
ATP500,Hard,The Final,7880,3,7965,2,1,24,1,0,1.0
Masters 1000,Hard,2nd Round,7800,3,1090,39,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,7800,3,1210,34,1,24,1,0,1.0
Masters 1000,Hard,4th Round,7800,3,1710,18,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,7800,3,1495,21,1,24,1,0,1.0
Masters 1000,Hard,Semifinals,7800,3,7965,2,1,24,1,0,1.0
Masters 1000,Hard,The Final,7800,3,12390,1,1,24,1,0,1.0
Masters 1000,Hard,2nd Round,8710,2,896,54,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,8710,2,335,173,1,24,1,0,1.0
Masters 1000,Hard,4th Round,8710,2,1710,17,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,8710,2,1058,40,1,24,1,0,1.0
Masters 1000,Hard,Semifinals,8710,2,2106,15,1,24,1,0,1.0
Masters 1000,Hard,The Final,8710,2,12630,1,1,24,1,0,1.0
ATP250,Clay,2nd Round,9640,2,327,182,1,24,1,0,1.0
ATP250,Clay,Quarterfinals,9640,2,599,85,1,24,1,0,1.0
ATP250,Clay,The Final,9640,2,1095,37,1,24,1,0,1.0
Masters 1000,Clay,2nd Round,9710,2,1150,35,1,24,1,0,1.0
Masters 1000,Clay,3rd Round,9710,2,1285,29,1,24,1,0,1.0
Masters 1000,Clay,Quarterfinals,9710,2,4330,6,1,24,1,0,1.0
Masters 1000,Clay,Semifinals,9710,2,1115,36,1,24,1,0,1.0
Masters 1000,Clay,The Final,9710,2,11915,1,1,24,1,0,1.0
Masters 1000,Clay,2nd Round,10665,2,418,141,1,24,1,0,1.0
Masters 1000,Clay,3rd Round,10665,2,1920,14,1,24,1,0,1.0
Masters 1000,Clay,Quarterfinals,10665,2,5265,5,1,24,1,0,1.0
Masters 1000,Clay,Semifinals,10665,2,5905,4,1,24,1,0,1.0
Masters 1000,Clay,The Final,10665,2,12470,1,1,24,1,0,1.0
Grand Slam,Clay,1st Round,11665,2,710,71,1,24,1,1,1.0
Grand Slam,Clay,3rd Round,11665,2,1355,26,1,24,1,1,1.0
Grand Slam,Clay,4th Round,11665,2,1755,16,1,24,1,1,1.0
Grand Slam,Clay,Semifinals,11665,2,8390,3,0,24,1,1,1.0
Grand Slam,Grass,1st Round,12005,2,930,54,1,24,1,1,1.0
Grand Slam,Grass,2nd Round,12005,2,1185,36,1,24,1,1,0.8
Grand Slam,Grass,3rd Round,12005,2,1295,30,1,24,1,1,0.8
Grand Slam,Grass,4th Round,12005,2,1195,35,1,24,1,1,0.8
Grand Slam,Grass,Quarterfinals,12005,2,357,158,1,24,1,1,0.8
Grand Slam,Grass,Semifinals,12005,2,1585,19,1,24,1,1,0.8
Grand Slam,Grass,The Final,12005,2,12070,1,1,24,1,1,1.0
Masters 1000,Hard,2nd Round,12860,1,1295,30,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,12860,1,1295,29,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,12860,1,2905,7,1,24,1,0,1.0
Masters 1000,Hard,The Final,12860,1,2505,8,1,24,1,0,1.0
Masters 1000,Hard,2nd Round,13500,1,667,78,1,24,1,0,1.0
Masters 1000,Hard,3rd Round,13500,1,1338,29,1,24,1,0,1.0
Masters 1000,Hard,Quarterfinals,13500,1,2995,8,1,24,1,0,1.0
Grand Slam,Hard,2nd Round,13920,1,672,74,1,24,1,1,1.0
Grand Slam,Hard,3rd Round,13920,1,1115,39,1,24,1,1,1.0
Grand Slam,Hard,4th Round,13920,1,1530,23,1,24,1,1,1.0
Grand Slam,Hard,Semifinals,13920,1,8380,3,1,24,1,1,1.0
Grand Slam,Hard,The Final,13920,1,11420,2,1,24,1,1,1.0
ATP500,Hard,1st Round,13860,1,910,47,1,24,0,0,1.0
ATP500,Hard,2nd Round,13860,1,747,64,1,24,0,0,1.0
ATP500,Hard,Quarterfinals,13860,1,805,59,1,24,0,0,1.0
ATP500,Hard,Semifinals,13860,1,1225,32,0,24,0,0,1.0
Masters 1000,Hard,2nd Round,13785,1,1035,39,1,24,0,0,1.0
Masters 1000,Hard,3rd Round,13785,1,1730,19,1,24,0,0,0.8
Masters Cup,Hard,Round Robin,13475,1,3300,7,1,24,0,0,0.8
Masters Cup,Hard,Round Robin,13475,1,4480,5,0,24,0,0,0.8
Masters Cup,Hard,Round Robin,13475,1,2395,9,0,24,0,0,0.8
Grand Slam,Hard,2nd Round,13630,1,845,56,1,25,1,1,0.6
Grand Slam,Hard,3rd Round,13630,1,653,81,1,25,1,1,0.6
Grand Slam,Hard,4th Round,13630,1,265,181,1,25,1,1,0.6
Grand Slam,Hard,Quarterfinals,13630,1,4925,5,1,25,1,1,0.6
Grand Slam,Hard,Semifinals,13630,1,7380,4,1,25,1,1,0.6
Grand Slam,Hard,The Final,13630,1,9595,2,1,25,1,1,0.8
ATP500,Hard,1st Round,13130,1,678,72,1,25,1,0,1.0
ATP500,Hard,2nd Round,13130,1,665,74,1,25,1,0,1.0
ATP500,Hard,Quarterfinals,13130,1,2710,9,1,25,1,0,1.0
ATP500,Hard,Semifinals,13130,1,7150,4,0,25,1,0,1.0
Masters 1000,Hard,2nd Round,13310,1,372,145,1,25,1,0,1.0
Masters 1000,Hard,3rd Round,13310,1,1270,30,1,25,1,0,0.8
Masters 1000,Hard,4th Round,13310,1,1000,45,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,13310,1,2070,12,1,25,1,0,0.8
Masters 1000,Hard,Semifinals,13310,1,2120,11,0,25,1,0,0.8
Masters 1000,Hard,2nd Round,12670,1,1010,42,1,25,1,0,0.8
Masters 1000,Hard,3rd Round,12670,1,1340,27,1,25,1,0,0.8
Masters 1000,Hard,4th Round,12670,1,1595,17,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,12670,1,4700,5,1,25,1,0,0.8
Masters 1000,Hard,Semifinals,12670,1,1495,21,1,25,1,0,0.8
Masters 1000,Hard,The Final,12670,1,7450,4,1,25,1,0,0.8
Masters 1000,Clay,2nd Round,12670,1,980,44,1,25,1,0,1.0
Masters 1000,Clay,3rd Round,12670,1,1495,21,1,25,1,0,1.0
Masters 1000,Clay,Quarterfinals,12670,1,821,55,1,25,1,0,1.0
Masters 1000,Clay,Semifinals,12670,1,3810,7,1,25,1,0,1.0
Masters 1000,Clay,The Final,12670,1,9215,2,0,25,1,0,1.0
Masters 1000,Clay,2nd Round,12020,1,399,137,1,25,1,0,1.0
Masters 1000,Clay,3rd Round,12020,1,1505,21,1,25,1,0,0.8
Masters 1000,Clay,Quarterfinals,12020,1,2820,8,0,25,1,0,0.8
Masters 1000,Clay,2nd Round,11200,1,1215,32,1,25,1,0,0.8
Masters 1000,Clay,3rd Round,11200,1,1925,15,1,25,1,0,0.6
Masters 1000,Clay,Quarterfinals,11200,1,4930,5,1,25,1,0,0.6
Masters 1000,Clay,Semifinals,11200,1,9430,2,1,25,1,0,0.8
Masters 1000,Clay,The Final,11200,1,9105,3,0,25,1,0,0.8
Grand Slam,Clay,1st Round,11800,1,558,97,1,25,1,1,0.8
Grand Slam,Clay,4th Round,11800,1,1355,25,1,25,1,1,0.8
Grand Slam,Clay,Quarterfinals,11800,1,4965,5,1,25,1,1,0.8
Grand Slam,Clay,Semifinals,11800,1,9790,3,1,25,1,1,0.8
Grand Slam,Clay,The Final,11800,1,10060,2,0,25,1,1,0.8
Grand Slam,Grass,1st Round,12280,1,1035,38,1,25,1,1,0.8
Grand Slam,Grass,2nd Round,12280,1,871,48,1,25,1,1,0.8
Grand Slam,Grass,3rd Round,12280,1,1340,27,1,25,1,1,0.8
Grand Slam,Grass,4th Round,12280,1,1190,34,1,25,1,1,0.8
Grand Slam,Grass,Quarterfinals,12280,1,1230,29,1,25,1,1,0.8
Grand Slam,Grass,Semifinals,12280,1,9435,3,0,25,1,1,0.8
Masters 1000,Hard,2nd Round,11270,2,880,49,1,25,1,0,1.0
Masters 1000,Hard,3rd Round,11270,2,1189,35,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,11270,2,1418,25,1,25,1,0,0.8
Masters 1000,Hard,Semifinals,11270,2,3320,9,1,25,1,0,0.8
Masters 1000,Hard,The Final,11270,2,1600,21,1,25,1,0,0.8
Masters 1000,Hard,2nd Round,11270,2,1355,27,1,25,1,0,0.8
Masters 1000,Hard,Quarterfinals,11270,2,2015,15,1,25,1,0,1.0
Masters 1000,Hard,Semifinals,11270,2,3305,9,1,25,1,0,1.0
Masters 1000,Hard,The Final,11270,2,11345,1,0,25,1,0,1.0
Grand Slam,Hard,1st Round,11270,2,674,69,1,25,1,1,1.0
Grand Slam,Hard,3rd Round,11270,2,1075,35,1,25,1,1,0.8
Grand Slam,Hard,Quarterfinals,11270,2,3620,8,1,25,1,1,0.8
Grand Slam,Hard,Semifinals,11270,2,5375,5,1,25,1,1,0.8
Grand Slam,Hard,The Final,11270,2,7290,4,0,25,1,1,0.8
ATP500,Hard,1st Round,10470,2,466,123,1,25,1,0,0.8
ATP500,Hard,2nd Round,10470,2,880,50,1,25,1,0,0.8
ATP500,Hard,Quarterfinals,10470,2,997,37,1,25,1,0,0.8
ATP500,Hard,Semifinals,10470,2,1295,29,1,25,1,0,0.8
ATP500,Hard,The Final,10470,2,4520,7,1,25,1,0,0.8
Masters 1000,Hard,2nd Round,10970,2,751,56,1,25,1,0,0.8
Masters 1000,Hard,3rd Round,10970,2,1355,29,1,25,1,0,1.0
Masters 1000,Hard,Quarterfinals,10970,2,1553,21,1,25,1,0,1.0
Masters 1000,Hard,Semifinals,10970,2,4570,7,1,25,1,0,1.0
Masters 1000,Hard,The Final,10970,2,8090,3,1,25,1,0,1.0
Masters 1000,Hard,2nd Round,11970,2,1560,23,0,25,0,0,1.0
Masters Cup,Hard,Round Robin,11420,1,3490,8,1,25,0,0,1.0
Masters Cup,Hard,Round Robin,11420,1,7600,3,1,25,0,0,0.8
Masters Cup,Hard,Round Robin,11420,1,4405,6,1,25,0,0,0.8
Masters Cup,Hard,Semifinals,11420,1,4080,7,1,25,0,0,0.8
Masters Cup,Hard,The Final,11420,1,9465,2,1,25,0,0,0.8
Grand Slam,Hard,1st Round,12920,1,763,60,1,26,1,1,0.8
Grand Slam,Hard,2nd Round,12920,1,754,62,1,26,1,1,1.0
Grand Slam,Hard,4th Round,12920,1,1900,17,1,26,1,1,1.0
Grand Slam,Hard,Quarterfinals,12920,1,4680,6,1,26,1,1,1.0
Grand Slam,Hard,Semifinals,12920,1,6505,5,1,26,1,1,1.0
Grand Slam,Hard,The Final,12920,1,8000,3,1,26,1,1,1.0
ATP500,Hard,1st Round,12960,1,925,44,1,26,1,0,1.0
ATP500,Hard,2nd Round,12960,1,788,55,1,26,1,0,1.0
ATP500,Hard,Quarterfinals,12960,1,1730,20,1,26,1,0,1.0
ATP500,Hard,Semifinals,12960,1,4410,7,1,26,1,0,1.0
ATP500,Hard,The Final,12960,1,4545,6,1,26,1,0,1.0
Masters 1000,Hard,2nd Round,13280,1,1065,36,1,26,1,0,1.0
Masters 1000,Hard,3rd Round,13280,1,1137,31,1,26,1,0,1.0
Masters 1000,Hard,4th Round,13280,1,1695,23,1,26,1,0,1.0
Masters 1000,Hard,Quarterfinals,13280,1,3660,8,1,26,1,0,1.0
Masters 1000,Hard,Semifinals,13280,1,4410,7,0,26,1,0,1.0
Masters 1000,Hard,2nd Round,13280,1,749,64,1,26,1,0,1.0
Masters 1000,Hard,3rd Round,13280,1,182,254,1,26,1,0,0.8
Masters 1000,Hard,4th Round,13280,1,1925,18,0,26,1,0,0.8
Masters 1000,Clay,2nd Round,12500,1,1220,27,1,26,1,0,0.8
Masters 1000,Clay,3rd Round,12500,1,1740,20,1,26,1,0,0.6
Masters 1000,Clay,Quarterfinals,12500,1,860,49,1,26,1,0,0.6
Masters 1000,Clay,Semifinals,12500,1,1135,32,1,26,1,0,0.8
Masters 1000,Clay,The Final,12500,1,6385,5,1,26,1,0,0.8
Masters 1000,Clay,2nd Round,12900,1,1272,28,0,26,1,0,0.8
Masters 1000,Clay,2nd Round,12730,1,573,89,1,26,1,0,1.0
Masters 1000,Clay,3rd Round,12730,1,1420,23,1,26,1,0,0.8
Masters 1000,Clay,Quarterfinals,12730,1,4520,6,0,26,1,0,0.8
Grand Slam,Clay,1st Round,12310,1,797,58,1,26,1,1,0.8
Grand Slam,Clay,3rd Round,12310,1,1355,28,1,26,1,1,0.6
Grand Slam,Clay,4th Round,12310,1,1750,19,1,26,1,1,0.6
Grand Slam,Clay,Quarterfinals,12310,1,2340,14,1,26,1,1,0.8
Grand Slam,Clay,Semifinals,12310,1,6895,4,0,26,1,1,0.8
Grand Slam,Grass,1st Round,11830,1,1175,34,1,26,1,1,0.8
Grand Slam,Grass,2nd Round,11830,1,346,156,1,26,1,1,0.8
Grand Slam,Grass,3rd Round,11830,1,1441,25,1,26,1,0,0.8
Grand Slam,Grass,4th Round,11830,1,2425,13,1,26,1,1,0.8
Grand Slam,Grass,Quarterfinals,11830,1,4515,6,1,26,1,1,0.8
Grand Slam,Grass,Semifinals,11830,1,3960,8,1,26,1,1,0.8
Grand Slam,Grass,The Final,11830,1,8560,2,0,26,1,1,1.0
Masters 1000,Hard,2nd Round,12040,1,905,50,1,26,1,0,1.0
Masters 1000,Hard,3rd Round,12040,1,720,66,1,26,1,0,0.8
Masters 1000,Hard,Quarterfinals,12040,1,3045,9,1,26,1,0,0.8
Masters 1000,Hard,Semifinals,12040,1,6860,4,0,26,1,0,0.8
Masters 1000,Hard,2nd Round,11400,1,1240,32,1,26,1,0,0.8
Masters 1000,Hard,3rd Round,11400,1,631,80,1,26,1,0,0.6
Masters 1000,Hard,Quarterfinals,11400,1,1585,22,0,26,1,0,0.8
Grand Slam,Hard,1st Round,10980,1,499,112,1,26,1,1,0.8
Grand Slam,Hard,2nd Round,10980,1,603,87,1,26,1,1,0.6
Grand Slam,Hard,4th Round,10980,1,975,43,1,26,1,1,0.6
Grand Slam,Hard,Quarterfinals,10980,1,1475,24,1,26,1,1,0.8
Grand Slam,Hard,Semifinals,10980,1,2610,10,1,26,1,1,0.8
Grand Slam,Hard,The Final,10980,1,8860,2,0,26,1,1,0.8
ATP500,Hard,1st Round,11120,1,951,46,1,26,1,0,1.0
ATP500,Hard,2nd Round,11120,1,1210,31,1,26,1,0,0.8
ATP500,Hard,Quarterfinals,11120,1,1265,30,1,26,1,0,0.8
ATP500,Hard,Semifinals,11120,1,3005,10,1,26,1,0,0.8
ATP500,Hard,The Final,11120,1,10860,2,1,26,1,0,0.8
Masters 1000,Hard,2nd Round,11120,2,1110,36,1,26,1,0,0.8
Masters 1000,Hard,3rd Round,11120,2,1885,17,1,26,1,0,1.0
Masters 1000,Hard,Quarterfinals,11120,2,1050,42,1,26,1,0,1.0
Masters 1000,Hard,Semifinals,11120,2,3115,9,1,26,1,0,1.0
Masters 1000,Hard,The Final,11120,2,4925,5,1,26,1,0,1.0
Masters 1000,Hard,2nd Round,11120,2,262,189,1,26,0,0,1.0
Masters 1000,Hard,3rd Round,11120,2,2070,16,1,26,0,0,1.0
Masters 1000,Hard,Quarterfinals,11120,2,3240,8,1,26,0,0,1.0
Masters 1000,Hard,Semifinals,11120,2,4245,6,1,26,0,0,1.0
Masters 1000,Hard,The Final,11120,2,6600,3,1,26,0,0,1.0
Masters Cup,Hard,Round Robin,10610,2,3805,7,1,26,0,0,1.0
Masters Cup,Hard,Round Robin,10610,2,5055,5,1,26,0,0,1.0
Masters Cup,Hard,Round Robin,10610,2,3300,9,1,26,0,0,1.0
Masters Cup,Hard,Semifinals,10610,2,3330,8,1,26,0,0,1.0
Masters Cup,Hard,The Final,10610,2,12030,1,1,26,0,0,1.0
Grand Slam,Hard,2nd Round,12260,2,579,98,1,27,1,1,1.0
Grand Slam,Hard,3rd Round,12260,2,945,49,1,27,1,1,1.0
Grand Slam,Hard,4th Round,12260,2,1930,16,1,27,1,1,1.0
Grand Slam,Hard,Quarterfinals,12260,2,3890,8,0,27,1,1,1.0
ATP500,Hard,1st Round,10580,2,830,54,1,27,1,0,1.0
ATP500,Hard,2nd Round,10580,2,885,51,1,27,1,0,0.8
ATP500,Hard,Semifinals,10580,2,4305,8,0,27,1,0,0.8
Masters 1000,Hard,2nd Round,10260,2,616,87,1,27,1,0,0.8
Masters 1000,Hard,3rd Round,10260,2,602,91,1,27,1,0,0.6
Masters 1000,Hard,4th Round,10260,2,1455,26,1,27,1,0,0.6
Masters 1000,Hard,Quarterfinals,10260,2,730,65,1,27,1,0,0.8
Masters 1000,Hard,Semifinals,10260,2,2320,13,1,27,1,0,0.8
Masters 1000,Hard,The Final,10260,2,4625,8,1,27,1,0,0.8
Masters 1000,Hard,2nd Round,10900,2,955,48,1,27,1,0,1.0
Masters 1000,Hard,4th Round,10900,2,2050,17,1,27,1,0,1.0
Masters 1000,Hard,Quarterfinals,10900,2,4795,6,1,27,1,0,1.0
Masters 1000,Hard,The Final,10900,2,13130,1,1,27,1,0,1.0
Masters 1000,Clay,2nd Round,11680,2,810,57,1,27,1,0,1.0
Masters 1000,Clay,3rd Round,11680,2,730,62,1,27,1,0,1.0
Masters 1000,Clay,Quarterfinals,11680,2,1071,38,1,27,1,0,1.0
Masters 1000,Clay,Semifinals,11680,2,5355,4,0,27,1,0,1.0
Masters 1000,Clay,2nd Round,11030,2,1005,43,1,27,1,0,1.0
Masters 1000,Clay,3rd Round,11030,2,1280,29,1,27,1,0,0.8
Masters 1000,Clay,Quarterfinals,11030,2,5030,5,1,27,1,0,0.8
Masters 1000,Clay,Semifinals,11030,2,2625,10,1,27,1,0,0.8
Masters 1000,Clay,The Final,11030,2,12900,1,1,27,1,0,0.8
Grand Slam,Clay,2nd Round,11850,2,1060,42,1,27,1,1,0.8
Grand Slam,Clay,3rd Round,11850,2,1410,26,1,27,1,1,1.0
Grand Slam,Clay,4th Round,11850,2,2315,14,1,27,1,1,1.0
Grand Slam,Clay,Quarterfinals,11850,2,2975,9,1,27,1,1,1.0
Grand Slam,Clay,Semifinals,11850,2,2050,17,1,27,1,1,1.0
Grand Slam,Clay,The Final,11850,2,12500,1,0,27,1,1,1.0
Grand Slam,Grass,1st Round,12330,2,852,56,1,27,1,1,1.0
Grand Slam,Grass,2nd Round,12330,2,1085,38,1,27,1,1,0.8
Grand Slam,Grass,3rd Round,12330,2,1005,44,1,27,1,1,0.8
Grand Slam,Grass,4th Round,12330,2,1775,17,1,27,1,1,0.8
Grand Slam,Grass,Quarterfinals,12330,2,1350,29,1,27,1,1,0.8
Grand Slam,Grass,Semifinals,12330,2,2595,13,1,27,1,1,0.8
Grand Slam,Grass,The Final,12330,2,4945,4,1,27,1,1,1.0
Masters 1000,Hard,2nd Round,13130,1,1545,22,1,27,1,0,1.0
Masters 1000,Hard,3rd Round,13130,1,1910,15,0,27,1,0,1.0
Masters 1000,Hard,2nd Round,12860,1,1145,31,1,27,1,0,1.0
Masters 1000,Hard,3rd Round,12860,1,1735,20,0,27,1,0,0.8
Grand Slam,Hard,1st Round,12770,1,656,79,1,27,1,1,0.8
Grand Slam,Hard,2nd Round,12770,1,649,81,1,27,1,1,0.6
Grand Slam,Hard,3rd Round,12770,1,820,57,1,27,1,1,0.6
Grand Slam,Hard,4th Round,12770,1,1505,25,1,27,1,1,0.6
Grand Slam,Hard,Quarterfinals,12770,1,3150,9,1,27,1,1,0.8
Grand Slam,Hard,Semifinals,12770,1,2680,11,0,27,1,1,0.8
ATP500,Hard,1st Round,12150,1,1040,38,1,27,1,0,1.0
ATP500,Hard,2nd Round,12150,1,965,41,1,27,1,0,0.8
ATP500,Hard,Quarterfinals,12150,1,3710,10,1,27,1,0,0.8
ATP500,Hard,Semifinals,12150,1,3365,11,1,27,1,0,0.8
ATP500,Hard,The Final,12150,1,4115,6,1,27,1,0,0.8
Masters 1000,Hard,2nd Round,12150,1,1024,39,1,27,1,0,0.8
Masters 1000,Hard,3rd Round,12150,1,642,85,1,27,1,0,1.0
Masters 1000,Hard,Quarterfinals,12150,1,4495,5,1,27,1,0,1.0
Masters 1000,Hard,Semifinals,12150,1,8170,3,0,27,1,0,1.0
Masters 1000,Hard,2nd Round,11510,1,1460,24,1,27,0,0,1.0
Masters 1000,Hard,3rd Round,11510,1,1735,21,1,27,0,0,0.8
Masters 1000,Hard,Quarterfinals,11510,1,4295,8,1,27,0,0,0.8
Masters 1000,Hard,Semifinals,11510,1,4355,7,1,27,0,0,0.8
Masters 1000,Hard,The Final,11510,1,3930,10,1,27,0,0,0.8
Masters Cup,Hard,Round Robin,10010,1,4150,9,1,27,0,0,0.8
Masters Cup,Hard,Round Robin,10010,1,4895,4,1,27,0,0,1.0
Masters Cup,Hard,Round Robin,10010,1,4465,7,1,27,0,0,1.0
Masters Cup,Hard,Semifinals,10010,1,4625,5,1,27,0,0,1.0
ATP250,Hard,1st Round,11360,1,711,68,1,28,1,0,1.0
ATP250,Hard,2nd Round,11360,1,781,57,1,28,1,0,1.0
ATP250,Hard,Quarterfinals,11360,1,1320,27,0,28,1,0,1.0
Grand Slam,Hard,1st Round,11405,1,487,116,1,28,1,1,1.0
Grand Slam,Hard,2nd Round,11405,1,595,88,1,28,1,1,0.8
Grand Slam,Hard,3rd Round,11405,1,1135,33,1,28,1,1,0.8
Grand Slam,Hard,4th Round,11405,1,964,42,1,28,1,1,0.8
Grand Slam,Hard,Quarterfinals,11405,1,4575,8,1,28,1,1,0.8
Grand Slam,Hard,Semifinals,11405,1,5370,4,1,28,1,1,0.8
Grand Slam,Hard,The Final,11405,1,4675,6,1,28,1,1,1.0
ATP500,Hard,1st Round,13045,1,785,63,1,28,1,0,1.0
ATP500,Hard,2nd Round,13045,1,521,107,1,28,1,0,1.0
ATP500,Hard,Quarterfinals,13045,1,538,104,1,28,1,0,1.0
ATP500,Hard,Semifinals,13045,1,4460,8,1,28,1,0,1.0
ATP500,Hard,The Final,13045,1,9205,2,0,28,1,0,1.0
Masters 1000,Hard,2nd Round,13205,1,788,61,1,28,1,0,1.0
Masters 1000,Hard,3rd Round,13205,1,730,68,1,28,1,0,0.8
Masters 1000,Hard,4th Round,13205,1,1720,20,1,28,1,0,0.8
Masters 1000,Hard,Semifinals,13205,1,5425,4,1,28,1,0,0.8
Masters 1000,Hard,The Final,13205,1,9205,2,1,28,1,0,0.8
Masters 1000,Hard,2nd Round,13205,1,1065,41,1,28,1,0,0.8
Masters 1000,Hard,3rd Round,13205,1,603,84,1,28,1,0,1.0
Masters 1000,Hard,4th Round,13205,1,760,65,1,28,1,0,1.0
Masters 1000,Hard,Quarterfinals,13205,1,4580,7,1,28,1,0,1.0
Masters 1000,Hard,Semifinals,13205,1,1450,24,1,28,1,0,1.0
Masters 1000,Hard,The Final,13205,1,5695,4,1,28,1,0,1.0
Masters 1000,Clay,2nd Round,13205,1,742,67,1,28,1,0,1.0
Masters 1000,Clay,3rd Round,13205,1,876,52,1,28,1,0,1.0
Masters 1000,Clay,Quarterfinals,13205,1,3360,10,1,28,1,0,1.0
Masters 1000,Clay,Semifinals,13205,1,5255,5,1,28,1,0,1.0
Masters 1000,Clay,The Final,13205,1,4510,8,1,28,1,0,1.0
Masters 1000,Clay,2nd Round,13845,1,290,174,1,28,1,0,1.0
Masters 1000,Clay,3rd Round,13845,1,714,68,1,28,1,0,1.0
Masters 1000,Clay,Quarterfinals,13845,1,5040,6,1,28,1,0,1.0
Masters 1000,Clay,Semifinals,13845,1,4310,8,1,28,1,0,1.0
Masters 1000,Clay,The Final,13845,1,8645,2,1,28,1,0,1.0
Grand Slam,Clay,1st Round,13845,1,603,87,1,28,1,1,1.0
Grand Slam,Clay,2nd Round,13845,1,868,55,1,28,1,1,1.0
Grand Slam,Clay,3rd Round,13845,1,619,84,1,28,1,1,1.0
Grand Slam,Clay,4th Round,13845,1,1625,21,1,28,1,1,1.0
Grand Slam,Clay,Quarterfinals,13845,1,4570,7,1,28,1,1,1.0
Grand Slam,Clay,Semifinals,13845,1,7040,3,1,28,1,1,1.0
Grand Slam,Clay,The Final,13845,1,3845,9,0,28,1,1,1.0
Grand Slam,Grass,1st Round,13845,1,1195,33,1,28,1,1,1.0
Grand Slam,Grass,2nd Round,13845,1,564,92,1,28,1,1,0.8
Grand Slam,Grass,3rd Round,13845,1,1355,26,1,28,1,1,0.8
Grand Slam,Grass,4th Round,13845,1,2090,14,1,28,1,1,0.8
Grand Slam,Grass,Quarterfinals,13845,1,3540,9,1,28,1,1,0.8
Grand Slam,Grass,Semifinals,13845,1,1610,20,1,28,1,1,0.8
Grand Slam,Grass,The Final,13845,1,9665,2,1,28,1,1,1.0
Masters 1000,Hard,2nd Round,13755,1,1145,33,1,28,1,0,1.0
Masters 1000,Hard,3rd Round,13755,1,1115,35,1,28,1,0,1.0
Masters 1000,Hard,Quarterfinals,13755,1,585,87,1,28,1,0,1.0
Masters 1000,Hard,Semifinals,13755,1,925,49,1,28,1,0,1.0
Masters 1000,Hard,The Final,13755,1,7840,3,0,28,1,0,1.0
Masters 1000,Hard,2nd Round,14265,1,1000,42,1,28,1,0,1.0
Masters 1000,Hard,3rd Round,14265,1,2090,14,1,28,1,0,0.8
Masters 1000,Hard,Quarterfinals,14265,1,5575,5,1,28,1,0,0.8
Masters 1000,Hard,Semifinals,14265,1,750,66,1,28,1,0,0.8
Masters 1000,Hard,The Final,14265,1,8065,3,0,28,1,0,0.8
Grand Slam,Hard,2nd Round,14865,1,870,52,1,28,1,1,0.8
Grand Slam,Hard,3rd Round,14865,1,1430,25,1,28,1,1,0.8
Grand Slam,Hard,4th Round,14865,1,1510,23,1,28,1,1,0.8
Grand Slam,Hard,Quarterfinals,14865,1,1665,19,1,28,1,1,0.8
Grand Slam,Hard,Semifinals,14865,1,3550,9,1,28,1,1,0.8
Grand Slam,Hard,The Final,14865,1,9065,2,1,28,1,1,0.8
ATP500,Hard,1st Round,15645,1,790,59,1,28,1,0,1.0
ATP500,Hard,2nd Round,15645,1,230,219,1,28,1,0,1.0
ATP500,Hard,Quarterfinals,15645,1,2280,13,1,28,1,0,1.0
ATP500,Hard,Semifinals,15645,1,3945,7,1,28,1,0,1.0
ATP500,Hard,The Final,15645,1,3770,8,1,28,1,0,1.0
Masters 1000,Hard,2nd Round,15785,1,990,44,1,28,1,0,1.0
Masters 1000,Hard,3rd Round,15785,1,1725,17,1,28,1,0,1.0
Masters 1000,Hard,Quarterfinals,15785,1,1585,20,1,28,1,0,1.0
Masters 1000,Hard,Semifinals,15785,1,8640,2,1,28,1,0,1.0
Masters 1000,Hard,The Final,15785,1,1990,15,1,28,1,0,1.0
Masters 1000,Hard,2nd Round,15785,1,1080,40,1,28,0,0,1.0
Masters 1000,Hard,3rd Round,15785,1,2100,15,1,28,0,0,1.0
Masters 1000,Hard,Quarterfinals,15785,1,4730,5,1,28,0,0,1.0
Masters 1000,Hard,Semifinals,15785,1,6585,4,1,28,0,0,1.0
Masters 1000,Hard,The Final,15785,1,8070,3,1,28,0,0,1.0
Masters Cup,Hard,Round Robin,15285,1,4035,8,1,28,0,0,1.0
