Odd_1,Odd_2
1.8,2.0
15.0,1.01
21.0,1.005
11.0,1.04
1.02,12.0
1.05,9.0
3.5,1.3
7.5,1.08
3.6,1.28
21.0,1.01
9.0,1.05
5.0,1.16
5.0,1.16
2.75,1.44
1.01,21.0
1.12,5.5
10.0,1.04
1.33,3.4
15.0,1.01
1.01,15.0
1.02,12.0
9.0,1.06
1.07,8.0
1.44,2.75
2.3,1.66
11.0,1.05
1.1,7.0
9.0,1.07
9.0,1.07
15.0,1.03
1.05,11.0
1.06,10.0
1.002,34.0
17.0,1.02
19.0,1.02
2.5,1.53
2.37,1.57
13.0,1.04
17.0,1.02
11.0,1.05
11.0,1.05
3.75,1.25
1.22,4.0
1.3,3.4
3.6,1.28
1.3,3.5
67.0,1.0
1.002,34.0
1.002,34.0
1.01,21.0
1.1,8.0
1.36,3.3
2.3,1.66
1.01,26.0
26.0,1.01
7.0,1.1
1.33,3.4
1.01,23.0
1.04,13.0
26.0,1.01
1.08,8.0
7.0,1.1
1.07,9.0
1.03,15.0
11.0,1.05
4.33,1.22
1.05,11.0
2.9,1.41
1.01,21.0
1.08,8.0
13.0,1.04
1.28,3.75
1.72,2.1
1.01,26.0
1.16,5.0
7.0,1.1
1.03,15.0
8.0,1.08
1.16,5.0
1.95,1.85
1.61,2.25
34.0,1.002
41.0,1.0
1.0,41.0
19.0,1.02
5.0,1.16
1.53,2.5
4.33,1.25
23.0,1.01
1.01,21.0
23.0,1.01
1.02,19.0
1.02,17.0
2.87,1.44
1.07,9.0
7.0,1.1
1.1,7.0
5.0,1.16
1.11,6.5
13.0,1.04
1.08,8.0
4.0,1.25
1.53,2.5
1.002,34.0
67.0,1.0
21.0,1.01
6.0,1.12
9.0,1.07
2.87,1.44
1.01,26.0
26.0,1.01
17.0,1.02
1.02,17.0
4.5,1.18
1.02,17.0
17.0,1.02
10.0,1.06
5.5,1.14
2.37,1.57
8.0,1.08
1.25,4.0
2.0,1.8
4.5,1.18
5.0,1.16
2.3,1.61
1.002,29.0
34.0,1.002
41.0,1.0
1.02,19.0
1.16,5.0
8.0,1.08
2.62,1.53
19.0,1.02
1.01,26.0
17.0,1.02
7.0,1.1
6.5,1.11
29.0,1.002
1.02,17.0
13.0,1.04
1.08,8.0
1.11,6.5
26.0,1.01
34.0,1.002
11.0,1.05
1.06,10.0
1.1,7.0
6.5,1.11
6.0,1.12
2.87,1.4
1.05,11.0
1.01,21.0
1.06,10.0
1.12,6.0
1.002,29.0
41.0,1.0
1.07,9.0
15.0,1.03
1.08,8.0
1.61,2.3
1.01,26.0
29.0,1.002
19.0,1.02
7.0,1.1
1.1,7.0
1.16,5.0
2.5,1.57
1.03,15.0
17.0,1.02
6.5,1.11
3.0,1.4
1.03,15.0
19.0,1.02
7.0,1.1
1.002,34.0
34.0,1.002
1.0,51.0
1.01,26.0
1.02,17.0
5.5,1.14
2.2,1.66
21.0,1.01
13.0,1.04
11.0,1.05
1.1,7.0
2.1,1.72
21.0,1.01
10.0,1.06
1.1,7.0
1.14,5.5
1.33,3.4
23.0,1.01
1.14,5.5
1.14,5.5
1.28,3.75
1.12,6.0
1.28,3.75
1.28,3.75
1.06,10.0
1.14,5.5
2.37,1.57
1.0,41.0
1.002,34.0
1.01,26.0
1.01,26.0
9.0,1.07
17.0,1.02
1.02,17.0
1.22,4.33
34.0,1.0166666666666668
1.01,26.0
5.5,1.14
1.05,11.0
1.14,5.5
1.53,2.5
1.02,17.0
1.04,13.0
3.75,1.28
2.1,1.72
1.01,21.0
26.0,1.01
21.0,1.01
1.28,3.75
1.03,15.0
1.1,7.0
1.33,3.4
1.12,6.0
2.1,1.72
1.0,51.0
21.0,1.01
19.0,1.02
7.0,1.1
1.07,9.0
1.1,7.0
1.66,2.2
1.01,26.0
15.0,1.03
1.01,21.0
1.08,8.0
1.08,8.0
4.0,1.25
2.4,1.61
9.0,1.07
1.12,6.0
1.05,11.0
1.1,7.0
34.0,1.002
1.01,26.0
21.0,1.01
13.0,1.04
1.25,4.0
1.1,7.0
1.04,13.0
1.03,15.0
5.0,1.16
3.5,1.3
5.5,1.14
1.03,15.0
1.02,19.0
7.0,1.1
3.4,1.33
5.5,1.14
1.16,5.0
3.25,1.36
1.2,4.5
5.0,1.16
6.0,1.12
5.5,1.14
1.07,9.0
1.07,9.0
15.0,1.03
1.02,17.0
1.05,11.0
1.01,26.0
26.0,1.01
1.03,15.0
17.0,1.02
6.5,1.11
4.33,1.22
1.44,2.75
15.0,1.02
21.0,1.01
1.01,26.0
1.11,6.5
1.44,2.75
1.02,17.0
1.01,26.0
7.0,1.1
3.5,1.3
2.62,1.5
17.0,1.02
19.0,1.02
1.04,13.0
1.11,6.5
1.14,5.5
3.75,1.28
19.0,1.02
1.01,21.0
1.04,13.0
3.0,1.4
1.07,9.0
15.0,1.03
1.02,19.0
4.5,1.2
6.0,1.12
3.25,1.36
34.0,1.002
34.0,1.002
29.0,1.005
1.02,19.0
3.4,1.33
1.16,5.0
1.12,6.0
1.03,15.0
34.0,1.005
17.0,1.02
15.0,1.03
7.5,1.08
1.06,10.0
1.83,2.0
21.0,1.01
13.0,1.04
11.0,1.04
1.04,13.0
2.75,1.44
15.0,1.03
10.0,1.06
4.0,1.25
7.0,1.1
1.9,1.9
67.0,1.0
1.005,34.0
1.01,26.0
1.005,26.0
1.02,15.0
6.0,1.12
2.2,1.66
11.0,1.03
1.002,41.0
8.0,1.08
9.0,1.07
1.1,7.0
21.0,1.01
1.03,15.0
1.01,21.0
3.75,1.28
1.06,10.0
13.0,1.03
1.04,13.0
1.1,7.0
6.0,1.12
1.25,4.0
11.0,1.05
3.5,1.3
1.06,10.0
4.5,1.2
2.75,1.44
21.0,1.01
15.0,1.02
1.01,21.0
9.0,1.07
1.14,5.5
1.002,41.0
1.0,51.0
1.01,26.0
1.01,21.0
1.12,6.0
3.5,1.3
5.0,1.2
17.0,1.02
34.0,1.005
1.005,29.0
7.0,1.1
1.07,9.0
6.5,1.11
5.5,1.14
1.14,5.5
1.01,23.0
26.0,1.01
7.0,1.1
1.08,8.0
9.0,1.07
5.5,1.14
23.0,1.01
11.0,1.05
13.0,1.04
7.0,1.1
6.0,1.12
1.25,4.0
34.0,1.005
13.0,1.04
3.4,1.36
1.14,5.5
1.44,2.75
51.0,1.0
1.005,34.0
1.005,34.0
21.0,1.01
1.06,10.0
8.0,1.08
3.5,1.3
34.0,1.005
1.005,34.0
1.01,26.0
15.0,1.03
15.0,1.03
1.1,7.0
7.0,1.1
1.11,6.5
1.01,26.0
1.06,10.0
5.5,1.14
1.33,3.4
13.0,1.04
1.03,15.0
1.02,15.0
1.14,5.5
1.08,8.0
1.11,6.5
4.5,1.18
6.0,1.12
1.22,4.33
7.0,1.1
1.22,4.33
1.53,2.5
1.03,15.0
1.02,19.0
17.0,1.02
1.08,8.0
2.3,1.61
10.0,1.06
23.0,1.01
9.0,1.07
3.75,1.25
1.33,3.25
1.07,9.0
3.25,1.36
1.4,3.0
8.0,1.08
6.0,1.12
3.4,1.33
1.14,5.5
1.14,5.5
1.44,2.75
1.11,6.5
4.33,1.22
1.44,2.75
1.57,2.37
1.16,5.0
21.0,1.01
21.0,1.01
1.05,11.0
1.1,7.0
2.75,1.44
4.5,1.18
7.0,1.1
6.0,1.12
5.0,1.16
1.01,26.0
9.0,1.07
1.03,15.0
1.07,8.0
4.0,1.25
8.0,1.08
4.0,1.25
7.0,1.1
4.33,1.2
3.5,1.28
3.0,1.36
1.61,2.3
1.16,5.0
2.1,1.66
3.5,1.28
1.12,6.0
7.0,1.1
5.0,1.16
2.5,1.53
5.0,1.16
1.06,11.0
1.07,9.0
1.16,5.0
1.22,4.33
1.08,9.0
1.12,6.0
3.0,1.36
8.0,1.08
1.11,6.5
1.66,2.2
15.0,1.03
1.01,23.0
4.0,1.25
7.0,1.11
6.0,1.12
1.9,1.9
5.0,1.16
11.0,1.04
1.06,10.0
4.0,1.22
1.14,5.5
1.1,7.0
3.75,1.25
1.36,3.25
2.75,1.44
2.1,1.72
