dj_odds,opp_odds,dj_win
2.1,1.72,0
1.01,26.0,1
1.16,5.0,1
1.1,7.0,0
1.03,15.0,1
1.08,8.0,1
1.16,5.0,1
1.85,1.95,1
2.25,1.61,0
1.002,34.0,1
1.02,19.0,1
1.16,5.0,1
1.53,2.5,1
4.33,1.25,0
1.01,23.0,1
1.01,21.0,1
1.01,23.0,1
1.02,19.0,1
1.02,17.0,1
1.44,2.87,0
1.07,9.0,1
1.1,7.0,1
1.1,7.0,1
1.16,5.0,1
1.11,6.5,1
1.04,13.0,1
1.08,8.0,1
1.25,4.0,1
1.53,2.5,0
1.002,34.0,1
1.01,21.0,1
1.12,6.0,1
1.07,9.0,1
1.44,2.87,0
1.01,26.0,1
1.01,26.0,1
1.02,17.0,1
1.02,17.0,1
1.18,4.5,1
1.02,17.0,1
1.02,17.0,1
1.06,10.0,1
1.14,5.5,1
1.57,2.37,1
1.08,8.0,0
1.25,4.0,1
1.8,2.0,1
1.18,4.5,1
1.16,5.0,1
1.61,2.3,1
1.002,29.0,1
1.002,34.0,1
1.02,19.0,1
1.16,5.0,1
1.08,8.0,1
1.53,2.62,1
1.02,19.0,1
1.01,26.0,1
1.02,17.0,1
1.1,7.0,1
1.11,6.5,1
1.002,29.0,1
1.02,17.0,1
1.04,13.0,1
1.08,8.0,1
1.11,6.5,0
1.01,26.0,1
1.002,34.0,1
1.05,11.0,0
1.06,10.0,1
1.1,7.0,1
1.11,6.5,1
1.12,6.0,1
2.87,1.4,1
1.05,11.0,0
1.01,21.0,1
1.06,10.0,1
1.12,6.0,0
1.002,29.0,1
1.07,9.0,1
1.03,15.0,1
1.08,8.0,1
2.3,1.61,0
1.01,26.0,1
1.002,29.0,1
1.02,19.0,1
1.1,7.0,1
1.1,7.0,1
1.16,5.0,1
1.57,2.5,0
1.03,15.0,1
1.02,17.0,1
1.11,6.5,1
1.4,3.0,0
1.03,15.0,1
1.02,19.0,1
1.1,7.0,0
1.002,34.0,1
1.002,34.0,1
1.01,26.0,1
1.02,17.0,1
1.14,5.5,1
2.2,1.66,0
1.01,21.0,1
1.04,13.0,1
1.05,11.0,1
1.1,7.0,1
1.72,2.1,1
1.01,21.0,1
1.06,10.0,1
1.1,7.0,1
1.14,5.5,1
1.33,3.4,1
1.01,23.0,1
1.14,5.5,1
1.14,5.5,1
1.28,3.75,1
1.12,6.0,1
1.28,3.75,1
1.28,3.75,1
1.06,10.0,1
1.14,5.5,1
1.57,2.37,1
1.002,34.0,1
1.01,26.0,1
1.01,26.0,1
1.07,9.0,0
1.02,17.0,1
1.02,17.0,1
1.22,4.33,0
1.0166666666666668,34.0,1
1.01,26.0,1
1.14,5.5,1
1.05,11.0,1
1.14,5.5,1
1.53,2.5,1
1.02,17.0,1
1.04,13.0,1
1.28,3.75,1
1.72,2.1,1
1.01,21.0,1
1.01,26.0,1
1.01,21.0,1
1.28,3.75,0
1.03,15.0,1
1.1,7.0,1
1.33,3.4,1
1.12,6.0,1
2.1,1.72,1
1.01,21.0,1
1.02,19.0,1
1.1,7.0,1
1.07,9.0,1
1.1,7.0,1
2.2,1.66,0
1.01,26.0,1
1.03,15.0,1
1.01,21.0,1
1.08,8.0,1
1.08,8.0,1
1.25,4.0,1
