dj_odds,opp_odds,dj_win
1.03,11.0,1
1.02,12.0,1
1.04,10.0,1
1.1,6.5,1
1.05,9.0,1
1.2,4.5,0
1.03,11.0,1
1.16,4.5,0
1.11,6.0,1
1.14,5.0,1
1.03,11.0,1
1.8,1.9,1
1.12,6.0,1
1.8,2.0,0
1.08,7.0,1
1.16,4.5,1
1.2,4.33,1
2.25,1.61,0
1.14,5.0,1
1.57,2.25,1
1.5,2.5,0
1.08,7.0,1
1.1,6.5,1
1.1,6.5,1
1.28,3.5,1
1.22,4.33,1
3.5,1.3,1
3.25,1.36,0
1.005,21.0,1
1.2,4.33,1
1.22,4.0,1
1.25,4.0,1
1.12,5.5,1
1.14,5.0,1
1.06,8.0,1
2.2,1.66,0
1.11,6.0,1
1.16,4.5,1
1.07,7.5,1
1.2,4.33,1
2.75,1.44,0
1.12,5.5,1
1.14,5.0,0
1.2,4.5,1
1.9,1.9,0
1.38,3.0,1
3.0,1.38,0
1.01,15.0,1
1.01,15.0,1
1.06,8.0,1
1.28,3.75,1
2.87,1.4,1
1.61,2.4,1
1.07,7.5,1
1.04,10.0,1
1.04,10.0,1
2.5,1.53,1
1.03,11.0,1
1.06,8.0,1
1.08,7.0,1
1.07,7.5,1
1.61,2.25,1
1.72,2.1,1
1.03,11.0,1
1.01,15.0,1
1.04,10.0,1
1.02,12.0,1
1.07,8.0,1
2.0,1.8,1
1.01,15.0,1
1.005,21.0,1
1.04,11.0,1
1.02,12.0,1
1.05,9.0,1
1.3,3.5,1
1.08,7.5,1
3.6,1.28,1
1.01,21.0,1
1.05,9.0,1
1.16,5.0,1
1.16,5.0,1
2.75,1.44,1
1.01,21.0,1
1.12,5.5,1
1.04,10.0,1
1.33,3.4,0
1.01,15.0,1
1.01,15.0,1
1.02,12.0,1
1.06,9.0,1
1.07,8.0,1
1.44,2.75,1
2.3,1.66,1
1.05,11.0,1
1.1,7.0,1
1.07,9.0,1
1.07,9.0,1
1.03,15.0,1
1.05,11.0,1
1.06,10.0,1
1.002,34.0,1
1.02,17.0,1
1.02,19.0,1
1.53,2.5,1
1.57,2.37,1
1.04,13.0,1
1.02,17.0,1
1.05,11.0,1
1.05,11.0,0
1.25,3.75,1
1.22,4.0,1
1.3,3.4,1
1.28,3.6,0
1.3,3.5,0
1.002,34.0,1
1.002,34.0,1
1.01,21.0,1
1.1,8.0,1
1.36,3.3,1
1.66,2.3,1
1.01,26.0,1
1.01,26.0,1
1.1,7.0,1
1.33,3.4,0
1.01,23.0,1
1.04,13.0,1
1.01,26.0,1
1.08,8.0,1
1.1,7.0,0
1.07,9.0,1
1.03,15.0,1
1.05,11.0,1
1.22,4.33,1
1.05,11.0,1
1.41,2.9,1
1.01,21.0,1
1.08,8.0,1
1.04,13.0,1
1.28,3.75,1
