Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2
2008-09-02,Grand Slam,Outdoor,Hard,4th Round,5,Robredo T.,Djokovic N.,Djokovic N.,15,3,1360,5105,7.5,1.07
2008-09-05,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Roddick A.,Djokovic N.,3,8,5105,1845,1.61,2.25
2008-09-06,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Federer R.,Federer R.,3,2,5105,5930,2.1,1.72
2008-09-25,International,Indoor,Hard,2nd Round,3,Stadler S.,Djokovic N.,Djokovic N.,141,3,317,4855,12.0,1.02
2008-09-26,International,Indoor,Hard,Quarterfinals,3,Djokovic N.,Soderling R.,Djokovic N.,3,34,4855,965,1.2,4.33
2008-09-27,International,Indoor,Hard,Semifinals,3,Djokovic N.,Berdych T.,Djokovic N.,3,27,4855,1065,1.16,4.5
2008-09-28,International,Indoor,Hard,The Final,3,Djokovic N.,Tsonga J.W.,Tsonga J.W.,3,20,4855,1250,1.28,3.75
2008-10-16,Masters,Indoor,Hard,3rd Round,3,Djokovic N.,Karlovic I.,Karlovic I.,3,21,4725,1215,1.22,4.0
2008-10-30,Masters,Indoor,Carpet,3rd Round,3,Tsonga J.W.,Djokovic N.,Tsonga J.W.,14,3,1485,4575,3.25,1.33
2008-11-09,Masters Cup,Indoor,Hard,Round Robin,3,Del Potro J.M.,Djokovic N.,Djokovic N.,8,3,1845,4645,2.75,1.4
2008-11-11,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Davydenko N.,Djokovic N.,3,5,4645,2315,1.44,2.75
2008-11-13,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Tsonga J.W.,Tsonga J.W.,3,7,4645,1950,1.44,2.62
2008-11-15,Masters Cup,Indoor,Hard,Semifinals,3,Simon G.,Djokovic N.,Djokovic N.,9,3,1780,4645,3.0,1.38
2008-11-16,Masters Cup,Indoor,Hard,The Final,3,Davydenko N.,Djokovic N.,Djokovic N.,5,3,2315,4645,1.8,2.0
2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Gulbis E.,Gulbis E.,3,53,10590,1408,1.16,4.5
2009-01-14,ATP250,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Djokovic N.,Djokovic N.,29,3,2000,10590,4.33,1.2
2009-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Ancic M.,Djokovic N.,3,35,10590,1800,1.2,4.33
2009-01-16,ATP250,Outdoor,Hard,Semifinals,3,Nieminen J.,Djokovic N.,Nieminen J.,40,3,1600,10590,6.0,1.11
2009-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Chardy J.,Djokovic N.,3,68,10650,1163,1.03,11.0
2009-01-23,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Delic A.,Djokovic N.,3,127,10650,728,1.01,13.0
2009-01-25,Grand Slam,Outdoor,Hard,4th Round,5,Baghdatis M.,Djokovic N.,Djokovic N.,97,3,950,10650,3.75,1.25
2009-02-18,ATP250,Indoor,Hard,1st Round,3,Djokovic N.,Chardy J.,Djokovic N.,3,55,9010,1268,1.12,5.5
2009-02-19,ATP250,Indoor,Hard,2nd Round,3,Hernych J.,Djokovic N.,Djokovic N.,68,3,1132,9010,11.0,1.03
2009-02-20,ATP250,Indoor,Hard,Quarterfinals,3,Zverev M.,Djokovic N.,Djokovic N.,76,3,1085,9010,9.0,1.05
2009-02-21,ATP250,Indoor,Hard,Semifinals,3,Djokovic N.,Tsonga J.W.,Tsonga J.W.,3,12,9010,3200,1.61,2.2
2009-02-24,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Cipolla F.,Djokovic N.,3,125,9010,726,1.02,12.0
2009-02-25,ATP500,Outdoor,Hard,2nd Round,3,Hernych J.,Djokovic N.,Djokovic N.,66,3,1132,9010,11.0,1.03
2009-02-26,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Cilic M.,Djokovic N.,3,19,9010,2500,1.38,2.75
2009-02-27,ATP500,Outdoor,Hard,Semifinals,3,Simon G.,Djokovic N.,Djokovic N.,8,3,3945,9010,2.62,1.44
2009-02-28,ATP500,Outdoor,Hard,The Final,3,Ferrer D.,Djokovic N.,Djokovic N.,14,3,2875,9010,2.87,1.4
2009-03-15,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Vassallo-Arguello M.,Djokovic N.,3,54,9240,1238,1.01,15.0
2009-03-17,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Haas T.,Djokovic N.,3,64,9240,1105,1.1,6.5
2009-03-18,Masters 1000,Outdoor,Hard,4th Round,3,Wawrinka S.,Djokovic N.,Djokovic N.,16,3,2660,9240,6.5,1.1
2009-03-20,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Roddick A.,Roddick A.,3,7,9240,4060,1.57,2.37
2009-03-27,Masters 1000,Outdoor,Hard,2nd Round,3,Dancevic F.,Djokovic N.,Djokovic N.,117,3,736,8420,8.0,1.06
2009-03-30,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Mathieu P.H.,Djokovic N.,3,33,8420,1630,1.1,6.0
2009-03-31,Masters 1000,Outdoor,Hard,4th Round,3,Berdych T.,Djokovic N.,Djokovic N.,22,3,2230,8420,4.33,1.2
2009-04-01,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Tsonga J.W.,Djokovic N.,3,11,8420,3195,1.61,2.25
2009-04-03,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Federer R.,Djokovic N.,3,2,8420,10910,3.2,1.36
2009-04-05,Masters 1000,Outdoor,Hard,The Final,3,Murray A.,Djokovic N.,Murray A.,4,3,7850,8420,2.87,1.4
2009-04-14,Masters 1000,Outdoor,Clay,2nd Round,3,Hernandez O.,Djokovic N.,Djokovic N.,65,3,1084,9010,9.0,1.05
2009-04-16,Masters 1000,Outdoor,Clay,3rd Round,3,Montanes A.,Djokovic N.,Djokovic N.,36,3,1549,9010,7.0,1.08
2009-04-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Verdasco F.,Djokovic N.,3,8,9010,3760,1.8,1.9
2009-04-18,Masters 1000,Outdoor,Clay,Semifinals,3,Djokovic N.,Wawrinka S.,Djokovic N.,3,16,9010,2620,1.3,3.5
2009-04-19,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Djokovic N.,Nadal R.,1,3,14470,9010,1.07,8.0
2009-04-28,Masters 1000,Outdoor,Clay,2nd Round,3,Montanes A.,Djokovic N.,Djokovic N.,33,3,1609,9160,8.0,1.06
2009-04-30,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Robredo T.,Djokovic N.,3,17,9160,2510,1.16,4.5
2009-05-01,Masters 1000,Outdoor,Clay,Quarterfinals,3,Del Potro J.M.,Djokovic N.,Djokovic N.,5,3,4580,9160,4.33,1.22
2009-05-02,Masters 1000,Outdoor,Clay,Semifinals,3,Federer R.,Djokovic N.,Djokovic N.,2,3,10060,9160,2.1,1.72
2009-05-03,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,Nadal R.,3,1,9160,14890,6.5,1.11
2009-05-06,ATP250,Outdoor,Clay,2nd Round,3,Djokovic N.,Tipsarevic J.,Djokovic N.,3,63,9670,1045,1.06,8.0
2009-05-08,ATP250,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Troicki V.,Djokovic N.,3,38,9670,1460,1.06,8.0
2009-05-09,ATP250,Outdoor,Clay,Semifinals,3,Djokovic N.,Seppi A.,Djokovic N.,3,36,9670,1470,1.05,9.0
2009-05-10,ATP250,Outdoor,Clay,The Final,3,Kubot L.,Djokovic N.,Djokovic N.,179,3,423,9670,15.0,1.01
2009-05-13,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Hernandez O.,Djokovic N.,4,65,8920,1023,1.03,11.0
2009-05-14,Masters 1000,Outdoor,Clay,3rd Round,3,Seppi A.,Djokovic N.,Djokovic N.,36,4,1490,8920,11.0,1.04
2009-05-15,Masters 1000,Outdoor,Clay,Quarterfinals,3,Ljubicic I.,Djokovic N.,Djokovic N.,54,4,1181,8920,8.0,1.07
2009-05-16,Masters 1000,Outdoor,Clay,Semifinals,3,Nadal R.,Djokovic N.,Nadal R.,1,4,15360,8920,1.11,6.5
2009-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Stakhovsky S.,Djokovic N.,4,110,8830,732,1.005,21.0
2009-05-30,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Kohlschreiber P.,Kohlschreiber P.,4,31,8830,1590,1.04,10.0
2009-06-09,ATP250,Outdoor,Grass,1st Round,3,Bolelli S.,Djokovic N.,Djokovic N.,66,4,951,8020,8.0,1.06
2009-06-11,ATP250,Outdoor,Grass,2nd Round,3,Djokovic N.,Serra F.,Djokovic N.,4,56,8020,1056,1.02,12.0
2009-06-12,ATP250,Outdoor,Grass,Quarterfinals,3,Djokovic N.,Melzer J.,Djokovic N.,4,28,8020,1675,1.11,6.0
2009-06-13,ATP250,Outdoor,Grass,Semifinals,3,Djokovic N.,Rochus O.,Djokovic N.,4,136,8020,563,1.05,9.0
2009-06-14,ATP250,Outdoor,Grass,The Final,3,Djokovic N.,Haas T.,Haas T.,4,41,8020,1195,1.33,3.4
2009-06-22,Grand Slam,Outdoor,Grass,1st Round,5,Benneteau J.,Djokovic N.,Djokovic N.,81,4,845,7860,10.0,1.04
2009-06-24,Grand Slam,Outdoor,Grass,2nd Round,5,Greul S.,Djokovic N.,Djokovic N.,106,4,692,7860,15.0,1.01
2009-06-26,Grand Slam,Outdoor,Grass,3rd Round,5,Fish M.,Djokovic N.,Djokovic N.,25,4,1735,7860,3.75,1.25
2009-06-29,Grand Slam,Outdoor,Grass,4th Round,5,Sela D.,Djokovic N.,Djokovic N.,46,4,1162,7860,11.0,1.03
2009-07-01,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Haas T.,Haas T.,4,34,7860,1405,1.36,3.2
2009-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Polansky P.,Djokovic N.,Djokovic N.,225,4,256,7380,11.0,1.03
2009-08-13,Masters 1000,Outdoor,Hard,3rd Round,3,Youzhny M.,Djokovic N.,Djokovic N.,65,4,850,7380,5.0,1.14
2009-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Roddick A.,Roddick A.,4,5,7380,5530,1.9,1.8
2009-08-19,Masters 1000,Outdoor,Hard,2nd Round,3,Ljubicic I.,Djokovic N.,Djokovic N.,54,4,906,7150,6.0,1.11
2009-08-20,Masters 1000,Outdoor,Hard,3rd Round,3,Chardy J.,Djokovic N.,Djokovic N.,35,4,1222,7150,5.0,1.14
2009-08-21,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Simon G.,Djokovic N.,4,9,7150,3320,1.28,3.4
2009-08-22,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,Djokovic N.,Djokovic N.,3,4,8665,7150,1.57,2.37
2009-08-23,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Djokovic N.,Federer R.,1,4,11040,7150,1.44,2.75
2009-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Ljubicic I.,Djokovic N.,4,51,7660,976,1.04,10.0
2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Ball C.,Djokovic N.,4,155,7660,402,1.01,15.0
2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,5,Witten J.,Djokovic N.,Djokovic N.,276,4,197,7660,15.0,1.01
2009-09-08,Grand Slam,Outdoor,Hard,4th Round,5,Stepanek R.,Djokovic N.,Djokovic N.,16,4,2000,7660,4.5,1.16
2009-09-09,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Verdasco F.,Djokovic N.,4,10,7660,3220,1.33,3.4
2009-09-13,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Federer R.,Federer R.,4,1,7660,12040,4.33,1.22
2009-10-05,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Hanescu V.,Djokovic N.,4,27,7330,1286,1.08,7.0
2009-10-07,ATP500,Outdoor,Hard,2nd Round,3,Djokovic N.,Troicki V.,Djokovic N.,4,28,7330,1245,1.12,5.5
2009-10-09,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Verdasco F.,Djokovic N.,4,9,7330,3460,1.36,3.0
2009-10-10,ATP500,Outdoor,Hard,Semifinals,3,Soderling R.,Djokovic N.,Djokovic N.,11,4,3020,7330,2.62,1.44
2009-10-11,ATP500,Outdoor,Hard,The Final,3,Cilic M.,Djokovic N.,Djokovic N.,15,4,2195,7330,3.2,1.36
2009-10-14,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,Djokovic N.,Djokovic N.,66,4,720,7740,11.0,1.03
2009-10-15,Masters 1000,Outdoor,Hard,3rd Round,3,Schuettler R.,Djokovic N.,Djokovic N.,99,4,545,7740,12.0,1.02
2009-10-16,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Simon G.,Djokovic N.,4,10,7740,3285,1.2,4.33
2009-10-17,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Davydenko N.,Davydenko N.,4,8,7740,3710,1.36,3.0
2009-11-11,Masters 1000,Indoor,Hard,2nd Round,3,Monaco J.,Djokovic N.,Djokovic N.,30,3,1150,8300,7.0,1.08
2009-11-12,Masters 1000,Indoor,Hard,3rd Round,3,Djokovic N.,Clement A.,Djokovic N.,3,93,8300,552,1.07,7.5
2009-11-13,Masters 1000,Indoor,Hard,Quarterfinals,3,Djokovic N.,Soderling R.,Djokovic N.,3,10,8300,2935,1.33,3.25
2009-11-14,Masters 1000,Indoor,Hard,Semifinals,3,Nadal R.,Djokovic N.,Djokovic N.,2,3,8845,8300,2.0,1.8
2009-11-15,Masters 1000,Indoor,Hard,The Final,3,Monfils G.,Djokovic N.,Djokovic N.,16,3,2055,8300,4.33,1.22
2009-11-23,Masters Cup,Indoor,Hard,Round Robin,3,Davydenko N.,Djokovic N.,Djokovic N.,7,3,3630,7910,3.0,1.4
2009-11-25,Masters Cup,Indoor,Hard,Round Robin,3,Soderling R.,Djokovic N.,Soderling R.,9,3,3010,7910,3.0,1.4
2009-11-27,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Nadal R.,Djokovic N.,3,2,7910,9205,1.4,2.87
2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Gimeno-Traver D.,Djokovic N.,Djokovic N.,74,3,613,8310,15.0,1.01
2010-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Chiudinelli M.,Djokovic N.,Djokovic N.,58,3,775,8310,12.0,1.02
2010-01-23,Grand Slam,Outdoor,Hard,3rd Round,5,Istomin D.,Djokovic N.,Djokovic N.,103,3,515,8310,15.0,1.01
2010-01-25,Grand Slam,Outdoor,Hard,4th Round,5,Kubot L.,Djokovic N.,Djokovic N.,86,3,573,8310,13.0,1.01
2010-01-27,Grand Slam,Outdoor,Hard,Quarterfinals,5,Tsonga J.W.,Djokovic N.,Tsonga J.W.,10,3,2875,8310,3.0,1.4
2010-02-11,ATP500,Indoor,Hard,2nd Round,3,Djokovic N.,Chiudinelli M.,Djokovic N.,2,54,8310,781,1.05,9.0
2010-02-13,ATP500,Indoor,Hard,Semifinals,3,Djokovic N.,Youzhny M.,Youzhny M.,2,20,8310,1770,1.14,5.0
2010-02-22,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Garcia-Lopez G.,Djokovic N.,2,47,8310,894,1.03,11.0
2010-02-24,ATP500,Outdoor,Hard,2nd Round,3,Troicki V.,Djokovic N.,Djokovic N.,35,2,1110,8310,7.0,1.08
2010-02-25,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Ljubicic I.,Djokovic N.,2,26,8310,1450,1.14,5.0
2010-02-26,ATP500,Outdoor,Hard,Semifinals,3,Baghdatis M.,Djokovic N.,Djokovic N.,37,2,1100,8310,3.75,1.25
2010-02-28,ATP500,Outdoor,Hard,The Final,3,Djokovic N.,Youzhny M.,Djokovic N.,2,15,8310,1975,1.36,3.25
2010-03-14,Masters 1000,Outdoor,Hard,2nd Round,3,Fish M.,Djokovic N.,Djokovic N.,106,2,490,8310,5.5,1.12
2010-03-15,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Kohlschreiber P.,Djokovic N.,2,31,8310,1275,1.2,4.33
2010-03-17,Masters 1000,Outdoor,Hard,4th Round,3,Ljubicic I.,Djokovic N.,Ljubicic I.,26,2,1520,8310,3.5,1.28
2010-03-26,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Rochus O.,Rochus O.,2,59,8220,754,1.05,9.0
2010-04-14,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Serra F.,Djokovic N.,2,67,7630,710,1.16,4.5
2010-04-15,Masters 1000,Outdoor,Clay,3rd Round,3,Wawrinka S.,Djokovic N.,Djokovic N.,20,2,1780,7630,3.0,1.36
2010-04-16,Masters 1000,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Nalbandian D.,Djokovic N.,2,151,7630,335,1.4,2.75
2010-04-17,Masters 1000,Outdoor,Clay,Semifinals,3,Djokovic N.,Verdasco F.,Verdasco F.,2,12,7630,2725,1.4,3.0
2010-04-27,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Chardy J.,Djokovic N.,2,46,7390,920,1.08,7.0
2010-04-29,Masters 1000,Outdoor,Clay,3rd Round,3,Bellucci T.,Djokovic N.,Djokovic N.,28,2,1402,7390,5.0,1.14
2010-04-30,Masters 1000,Outdoor,Clay,Quarterfinals,3,Verdasco F.,Djokovic N.,Verdasco F.,9,2,3555,7390,2.62,1.44
2010-05-06,ATP250,Outdoor,Clay,2nd Round,3,Fognini F.,Djokovic N.,Djokovic N.,80,2,630,6970,11.0,1.03
2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Korolev E.,Djokovic N.,Djokovic N.,73,3,655,6405,12.0,1.02
2010-05-28,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Nishikori K.,Djokovic N.,3,246,6405,190,1.04,10.0
2010-05-29,Grand Slam,Outdoor,Clay,3rd Round,5,Hanescu V.,Djokovic N.,Djokovic N.,37,3,1160,6405,6.5,1.1
2010-05-31,Grand Slam,Outdoor,Clay,4th Round,5,Djokovic N.,Ginepri R.,Djokovic N.,3,98,6405,538,1.05,9.0
2010-06-02,Grand Slam,Outdoor,Clay,Quarterfinals,5,Melzer J.,Djokovic N.,Melzer J.,27,3,1495,6405,4.5,1.2
2010-06-09,ATP250,Outdoor,Grass,2nd Round,3,Djokovic N.,Lorenzi P.,Djokovic N.,3,96,6675,560,1.03,11.0
2010-06-10,ATP250,Outdoor,Grass,3rd Round,3,Djokovic N.,Malisse X.,Malisse X.,3,74,6675,649,1.16,4.5
2010-06-21,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Rochus O.,Djokovic N.,3,68,6545,730,1.11,6.0
2010-06-23,Grand Slam,Outdoor,Grass,2nd Round,5,Dent T.,Djokovic N.,Djokovic N.,97,3,551,6545,5.0,1.14
2010-06-25,Grand Slam,Outdoor,Grass,3rd Round,5,Montanes A.,Djokovic N.,Djokovic N.,31,3,1405,6545,11.0,1.03
2010-06-28,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,Hewitt L.,Djokovic N.,3,26,6545,1565,1.8,1.9
2010-06-30,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Lu Y.H.,Djokovic N.,3,82,6545,626,1.12,6.0
2010-07-02,Grand Slam,Outdoor,Grass,Semifinals,5,Djokovic N.,Berdych T.,Berdych T.,3,13,6545,2825,1.8,2.0
2010-08-11,Masters 1000,Outdoor,Hard,2nd Round,3,Benneteau J.,Djokovic N.,Djokovic N.,33,2,1229,6905,7.0,1.08
2010-08-12,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Hanescu V.,Djokovic N.,2,54,6905,870,1.16,4.5
2010-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Chardy J.,Djokovic N.,Djokovic N.,72,2,695,6905,4.33,1.2
2010-08-15,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Federer R.,Federer R.,2,3,6905,6795,2.25,1.61
2010-08-18,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Troicki V.,Djokovic N.,3,47,7085,945,1.14,5.0
2010-08-19,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Nalbandian D.,Djokovic N.,3,37,7085,1145,1.57,2.25
2010-08-20,Masters 1000,Outdoor,Hard,Quarterfinals,3,Roddick A.,Djokovic N.,Roddick A.,13,3,2875,7085,2.5,1.5
2010-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Djokovic N.,Djokovic N.,47,3,980,6665,7.0,1.08
2010-09-03,Grand Slam,Outdoor,Hard,2nd Round,5,Petzschner P.,Djokovic N.,Djokovic N.,52,3,910,6665,6.5,1.1
2010-09-04,Grand Slam,Outdoor,Hard,3rd Round,5,Blake J.,Djokovic N.,Djokovic N.,108,3,495,6665,6.5,1.1
2010-09-06,Grand Slam,Outdoor,Hard,4th Round,5,Fish M.,Djokovic N.,Djokovic N.,21,3,1751,6665,3.5,1.28
2010-09-08,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Monfils G.,Djokovic N.,3,19,6665,2070,1.22,4.33
2010-09-11,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Djokovic N.,Djokovic N.,2,3,7215,6665,1.3,3.5
2010-09-12,Grand Slam,Outdoor,Hard,The Final,5,Nadal R.,Djokovic N.,Nadal R.,1,3,10745,6665,1.36,3.25
2010-10-05,ATP500,Outdoor,Hard,1st Round,3,Gong M.X.,Djokovic N.,Djokovic N.,356,2,111,7145,21.0,1.005
2010-10-08,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Simon G.,Djokovic N.,2,43,7145,1055,1.2,4.33
2010-10-09,ATP500,Outdoor,Hard,Semifinals,3,Djokovic N.,Isner J.,Djokovic N.,2,22,7145,1715,1.22,4.0
2010-10-10,ATP500,Outdoor,Hard,The Final,3,Djokovic N.,Ferrer D.,Djokovic N.,2,11,7145,3135,1.25,4.0
2010-10-13,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Ljubicic I.,Djokovic N.,2,17,7145,2190,1.12,5.5
2010-10-14,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Gasquet R.,Djokovic N.,2,31,7145,1305,1.14,5.0
2010-10-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Garcia-Lopez G.,Djokovic N.,Djokovic N.,35,2,1175,7145,8.0,1.06
2010-10-16,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Federer R.,Federer R.,2,3,7145,6735,2.2,1.66
2010-11-02,ATP500,Indoor,Hard,1st Round,3,Djokovic N.,Gulbis E.,Djokovic N.,3,26,7145,1415,1.11,6.0
2010-11-04,ATP500,Indoor,Hard,2nd Round,3,Nieminen J.,Djokovic N.,Djokovic N.,41,3,1070,7145,4.5,1.16
2010-11-05,ATP500,Indoor,Hard,Quarterfinals,3,Haase R.,Djokovic N.,Djokovic N.,66,3,743,7145,7.5,1.07
2010-11-06,ATP500,Indoor,Hard,Semifinals,3,Djokovic N.,Troicki V.,Djokovic N.,3,32,7145,1225,1.2,4.33
2010-11-07,ATP500,Indoor,Hard,The Final,3,Federer R.,Djokovic N.,Federer R.,2,3,7495,7145,1.44,2.75
2010-11-10,Masters 1000,Indoor,Hard,2nd Round,3,Djokovic N.,Monaco J.,Djokovic N.,3,24,6945,1480,1.12,5.5
2010-11-11,Masters 1000,Indoor,Hard,3rd Round,3,Llodra M.,Djokovic N.,Llodra M.,34,3,1215,6945,5.0,1.14
2010-11-22,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Berdych T.,Djokovic N.,3,6,5635,3755,1.2,4.5
2010-11-24,Masters Cup,Indoor,Hard,Round Robin,3,Djokovic N.,Nadal R.,Nadal R.,3,1,5635,11450,1.9,1.9
2010-11-26,Masters Cup,Indoor,Hard,Round Robin,3,Roddick A.,Djokovic N.,Djokovic N.,8,3,3665,5635,3.0,1.38
2010-11-27,Masters Cup,Indoor,Hard,Semifinals,3,Djokovic N.,Federer R.,Federer R.,3,2,5635,7645,3.0,1.38
2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Granollers M.,Djokovic N.,3,42,6240,993,1.01,15.0
2011-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Dodig I.,Djokovic N.,3,81,6240,606,1.01,15.0
2011-01-23,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Almagro N.,Djokovic N.,3,14,6240,2160,1.06,8.0
2011-01-25,Grand Slam,Outdoor,Hard,Quarterfinals,5,Berdych T.,Djokovic N.,Djokovic N.,6,3,3955,6240,3.75,1.28
2011-01-27,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Federer R.,Djokovic N.,3,2,6240,9245,2.87,1.4
2011-01-30,Grand Slam,Outdoor,Hard,The Final,5,Djokovic N.,Murray A.,Djokovic N.,3,5,6240,5760,1.61,2.4
2011-02-22,ATP500,Outdoor,Hard,1st Round,3,Llodra M.,Djokovic N.,Djokovic N.,27,3,1370,7880,7.5,1.07
2011-02-23,ATP500,Outdoor,Hard,2nd Round,3,Lopez F.,Djokovic N.,Djokovic N.,41,3,1060,7880,10.0,1.04
2011-02-24,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Mayer F.,Djokovic N.,3,38,7880,1098,1.04,10.0
2011-02-26,ATP500,Outdoor,Hard,The Final,3,Djokovic N.,Federer R.,Djokovic N.,3,2,7880,7965,2.5,1.53
2011-03-14,Masters 1000,Outdoor,Hard,2nd Round,3,Golubev A.,Djokovic N.,Djokovic N.,39,3,1090,7800,11.0,1.03
2011-03-15,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Gulbis E.,Djokovic N.,3,34,7800,1210,1.06,8.0
2011-03-16,Masters 1000,Outdoor,Hard,4th Round,3,Djokovic N.,Troicki V.,Djokovic N.,3,18,7800,1710,1.08,7.0
2011-03-18,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Gasquet R.,Djokovic N.,3,21,7800,1495,1.07,7.5
2011-03-19,Masters 1000,Outdoor,Hard,Semifinals,3,Federer R.,Djokovic N.,Djokovic N.,2,3,7965,7800,2.25,1.61
2011-03-20,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,Nadal R.,Djokovic N.,3,1,7800,12390,1.72,2.1
2011-03-25,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Istomin D.,Djokovic N.,2,54,8710,896,1.03,11.0
2011-03-28,Masters 1000,Outdoor,Hard,3rd Round,3,Blake J.,Djokovic N.,Djokovic N.,173,2,335,8710,15.0,1.01
2011-03-30,Masters 1000,Outdoor,Hard,4th Round,3,Djokovic N.,Troicki V.,Djokovic N.,2,17,8710,1710,1.04,10.0
2011-03-31,Masters 1000,Outdoor,Hard,Quarterfinals,3,Anderson K.,Djokovic N.,Djokovic N.,40,2,1058,8710,12.0,1.02
2011-04-01,Masters 1000,Outdoor,Hard,Semifinals,3,Fish M.,Djokovic N.,Djokovic N.,15,2,2106,8710,8.0,1.07
