Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2
2006-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Fish M.,Djokovic N.,23,60,1183,651,1.53,2.37
2006-09-03,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Hewitt L.,Hewitt L.,23,17,1183,1515,2.1,1.66
2006-10-03,International,Indoor,Hard,1st Round,3,Mahut N.,Djokovic N.,Djokovic N.,67,22,591,1183,3.5,1.25
2006-10-05,International,Indoor,Hard,2nd Round,3,Bracciali D.,Djokovic N.,Djokovic N.,66,22,601,1183,4.33,1.19
2006-10-06,International,Indoor,Hard,Quarterfinals,3,Clemens T.,Djokovic N.,Djokovic N.,265,22,149,1183,7.5,1.07
2006-10-07,International,Indoor,Hard,Semifinals,3,Grosjean S.,Djokovic N.,Djokovic N.,35,22,910,1183,2.5,1.5
2006-10-08,International,Indoor,Hard,The Final,3,Djokovic N.,Melzer J.,Djokovic N.,22,48,1183,755,1.33,3.25
2006-10-11,International Gold,Indoor,Hard,1st Round,3,Djokovic N.,Zib T.,Djokovic N.,16,146,1350,310,1.08,6.5
2006-10-12,International Gold,Indoor,Hard,2nd Round,3,Wawrinka S.,Djokovic N.,Wawrinka S.,44,16,803,1350,3.0,1.36
2006-10-18,Masters,Indoor,Hard,2nd Round,3,Gasquet R.,Djokovic N.,Djokovic N.,27,17,1045,1360,1.57,2.25
2006-10-19,Masters,Indoor,Hard,3rd Round,3,Djokovic N.,Murray A.,Djokovic N.,17,19,1360,1295,2.1,1.66
2006-10-20,Masters,Indoor,Hard,Quarterfinals,3,Gonzalez F.,Djokovic N.,Gonzalez F.,10,17,1965,1360,2.1,1.66
2006-11-01,Masters,Indoor,Carpet,2nd Round,3,Mathieu P.H.,Djokovic N.,Mathieu P.H.,54,16,723,1465,3.39,1.3
2007-01-02,International,Outdoor,Hard,Round Robin,3,Djokovic N.,Hajek J.,Djokovic N.,16,76,1380,509,1.08,6.5
2007-01-03,International,Outdoor,Hard,Round Robin,3,Jones A.,Djokovic N.,Djokovic N.,200,16,194,1380,6.5,1.08
2007-01-05,International,Outdoor,Hard,Quarterfinals,3,Goldstein P.,Djokovic N.,Djokovic N.,70,16,526,1380,4.5,1.16
2007-01-06,International,Outdoor,Hard,Semifinals,3,Djokovic N.,Johansson J.,Djokovic N.,16,193,1380,202,1.57,2.25
2007-01-07,International,Outdoor,Hard,The Final,3,Guccione C.,Djokovic N.,Djokovic N.,153,16,287,1380,4.0,1.22
2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Massu N.,Djokovic N.,Djokovic N.,43,15,825,1530,4.0,1.22
2007-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Djokovic N.,Djokovic N.,79,15,486,1530,5.0,1.14
2007-01-19,Grand Slam,Outdoor,Hard,3rd Round,5,Udomchoke D.,Djokovic N.,Djokovic N.,102,15,417,1530,8.0,1.06
2007-01-21,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Federer R.,Federer R.,15,1,1530,8120,9.0,1.05
2007-02-12,International,Indoor,Hard,1st Round,3,Djokovic N.,Youzhny M.,Youzhny M.,14,22,1625,1180,1.5,2.5
2007-02-19,International Gold,Indoor,Hard,1st Round,3,Serra F.,Djokovic N.,Djokovic N.,67,14,540,1625,4.5,1.16
2007-02-21,International Gold,Indoor,Hard,2nd Round,3,Djokovic N.,Pavel A.,Djokovic N.,14,120,1625,374,1.16,4.5
2007-02-23,International Gold,Indoor,Hard,Quarterfinals,3,Djokovic N.,Robredo T.,Djokovic N.,14,7,1625,2555,1.61,2.2
