dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
1183,22,755,48,1,19,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1350,16,310,146,1,19,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1350,16,803,44,0,19,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1360,17,1045,27,1,19,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1360,17,1295,19,1,19,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1360,17,1965,10,0,19,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1465,16,723,54,0,19,0,0,0.8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1380,16,509,76,1,20,1,0,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1380,16,194,200,1,20,1,0,0.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1380,16,526,70,1,20,1,0,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1380,16,202,193,1,20,1,0,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1380,16,287,153,1,20,1,0,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1530,15,825,43,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1530,15,486,79,1,20,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1530,15,417,102,1,20,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1530,15,8120,1,0,20,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1625,14,1180,22,0,20,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1625,14,540,67,1,20,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1625,14,374,120,1,20,0,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1625,14,2555,7,1,20,0,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1625,14,1215,22,0,20,0,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1665,14,720,49,1,20,1,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1665,14,443,98,1,20,1,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1665,14,8120,1,0,20,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1715,13,765,43,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1715,13,511,71,1,20,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1715,13,757,46,1,20,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1715,13,1645,15,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1715,13,1700,14,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
