dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
1183,22,1.25,591,67,3.5,1,-8.632443531827516,74.51908133019072,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,22,1.19,601,66,4.33,1,-8.62696783025325,74.42457394422446,0,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0
1183,22,1.07,149,265,7.5,1,-8.624229979466119,74.37734273872216,0,0,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0
1183,22,1.5,910,35,2.5,1,-8.621492128678987,74.33012652487373,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1,0
1183,22,1.33,755,48,3.25,1,-8.618754277891856,74.28292530267917,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1350,16,1.08,310,146,6.5,1,-8.61054072553046,74.1414115860186,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0
1350,16,1.36,803,44,3.0,0,-8.607802874743328,74.0942703304395,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0
1360,17,2.25,1045,27,1.57,1,-8.591375770020534,73.81173762169593,0,0,0.8,0,0,1,0,0,0,1,0,0,0,0,0,0
1360,17,2.1,1295,19,1.66,1,-8.588637919233403,73.76470130769387,0,0,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0
1360,17,1.66,1965,10,2.1,0,-8.585900068446271,73.71767998534568,0,0,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0
1380,16,1.08,509,76,6.5,1,-8.383299110198493,70.27970397105484,1,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0
1380,16,1.08,194,200,6.5,1,-8.380561259411362,70.23380702274655,1,0,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0
1380,16,1.16,526,70,4.5,1,-8.3750855578371,70.14205810109156,1,0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0
1380,16,1.57,202,193,2.25,1,-8.372347707049965,70.09620612774481,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0
